method,aceticanhydride_IEF-PCM,amide11_IEF-PCM,amide12_IEF-PCM,amide21_IEF-PCM,amide22_IEF-PCM,basicepoxide1_IEF-PCM,basicepoxide2_IEF-PCM,borohydride_IEF-PCM,carbonate_IEF-PCM,cl2co_IEF-PCM,diazonium_IEF-PCM,epoxide1_IEF-PCM,epoxide2_IEF-PCM,ester_IEF-PCM,furan1_IEF-PCM,furan2_IEF-PCM,furan3_IEF-PCM,imine_IEF-PCM,iminium_IEF-PCM,lactone_IEF-PCM,Average
revM11,None,None,None,-0.038317018076240474,0.014285574430660745,-0.033528943060856534,0.023170087864772506,-0.035613453499509375,-0.269938302542431,-0.15178800719009491,-0.02847864205421246,-0.054728827911604196,-0.08182725618968517,-0.39200378801218283,-0.030082694042011155,-0.11141031513774316,-0.020035289561327968,-0.22042055783822923,-0.13564833604002335,None,-0.09789786055379492
M06-2X,None,None,None,-0.038533128294911845,0.029807212777381915,-0.07963891070670402,-0.02504362304684398,-0.058737499854580176,-0.3043038245047721,-0.1120833854124795,-0.007222944028992277,-0.07202561826583728,-0.07989774479693937,-0.39778240907952855,-0.08709070765588887,-0.07882451941697388,0.01112675673212583,-0.10885767913574367,-0.07460504595894507,None,-0.09273206691560205
M06-2X-D3(0),None,None,None,-0.035257904326010045,0.027196243573804874,-0.07818896486384282,-0.023251414937234552,-0.05795133529719444,-0.3042269414143612,-0.11040520667051883,-0.009030975567415818,-0.07087536517532902,-0.07877309491447117,-0.3961592790022925,-0.08871033290567507,-0.07665843211180852,0.011865570732272398,-0.10691378651782636,-0.07243092856902364,None,-0.09186075924793291
wB97XV,None,None,None,0.0103114272236018,-0.036047545348922426,-0.08692664336375097,-0.030836198121651,-0.014318005060200416,-0.25538638325185337,-0.10366689667560318,-0.024191314552500457,-0.04365901270095607,-0.05205586754379434,-0.37264262384605795,0.01198280784643382,-0.03975247017199039,-0.12639820305870877,-0.15010382672194197,-0.1002178197467145,None,-0.08836928594341313
mPWB1K-D3(BJ),None,None,None,0.02547754590955791,-0.04365328131249247,-0.10315942443948782,-0.048180951287788765,-0.10320765411271289,-0.281690029995053,-0.1325441840251216,0.053822506640228314,-0.05158298870710687,-0.059156851084715904,-0.3936438517446049,0.10264458843897149,-0.028565716691457545,-0.04404808200803468,-0.16772835661904012,-0.11025704400047297,None,-0.08659211093995824
M08-SO-D3(0),None,None,None,-0.17420459445704964,0.02645887721967804,-0.07097532068411704,-0.034562347641646216,-0.030158735167987942,-0.2648699425529278,-0.0496004381203597,0.051951657582559124,-0.07282752733795553,-0.08187714012900567,-0.28912365343557384,-0.09083601672387101,-0.02041486019333421,-0.14315477637278426,-0.10544561447880053,-0.029996540779801063,None,-0.08622731082956107
BMK-D3(BJ),None,None,None,0.0800346232838637,-0.1474915456084944,-0.16214486328048888,-0.0994589461166435,-0.04670459428479689,-0.27034589121710223,-0.08507756754388852,0.09392008824266461,-0.06797201219808015,-0.0800223457976981,-0.26725349750786215,0.01215266140478642,0.017260294552817117,-0.17436095683350758,-0.10362292687786757,-0.07468450868893597,None,-0.08598574927945213
LRC-wPBEh,None,None,None,0.12162715294514126,-0.04597530082435872,-0.09878780962669743,-0.04365249812681406,-0.022053414228748774,-0.3019149139305618,-0.12559484961512313,0.05815791396379308,-0.058057571262780584,-0.06543180264576165,-0.39886294656268895,0.05374730811286913,-0.06280387297495789,-0.0061937157042782935,-0.16661342664810272,-0.1465465969800165,None,-0.08180977150681794
mPWB1K,None,None,None,0.048234752660527035,-0.06281677098492301,-0.09585964529374573,-0.038560382587302336,-0.10193061222683171,-0.2753047715827062,-0.12912670702350926,0.043571422588540125,-0.04418365665700692,-0.051967909413150465,-0.39652347365906204,0.12235224896700167,-0.00797974836240819,-0.042240401496361824,-0.1651073409651718,-0.10615426421316927,None,-0.08147482876558
M06-SX-D3(BJ),None,None,None,-0.0735142755291427,-0.04365069895133721,-0.1216108679637679,-0.08684218730572578,-0.04313216468348443,-0.31849809892382713,-0.02094588152643564,0.11320208083940089,-0.050184121382529874,-0.04846200080104493,-0.330308101895171,0.019312641981177298,-0.005553071084608178,-0.09299411428221743,-0.09101778189246404,-0.06001250004780292,None,-0.0783881964655613
PBE0-D3(BJ),None,None,None,0.11604826355292,-0.03018258523067185,-0.13885173072754556,-0.08717329290045113,-0.004862182338008989,-0.3220173574480404,-0.10778661555892327,0.16449009218508606,-0.07255865421737576,-0.07712270173433441,-0.36947324950279853,0.016772623780580195,-0.06724349723886988,0.004475161298988883,-0.1426214781314603,-0.12741334733740958,None,-0.07784503447176966
LRC-wPBE-D3(BJ),None,None,None,0.08501299245160318,-0.011258343630651984,-0.050465024538610105,-0.0004665994982177949,-0.008248050580953185,-0.27949426865800425,-0.09757994595421965,0.03626047860682277,-0.03740415403739933,-0.04534572406163343,-0.3796706209705311,0.0054439383590798,-0.10650422216899831,-0.017867991349294118,-0.16335341929340647,-0.14743346276554534,None,-0.07614840113062246
BMK,None,None,None,0.12939451373824967,-0.19385833716851825,-0.14424865476574036,-0.07659242572925042,-0.04226476865525147,-0.25722421127371214,-0.07221055636890956,0.0714923353539658,-0.04972439566617184,-0.062227102461356154,-0.2703397192551787,0.05088275587075538,0.062014040578669063,-0.16871373417452626,-0.09511729903307281,-0.06256710083688477,None,-0.0738315412404333
SCAN-D3(BJ),None,None,None,0.0640754582787776,-0.0055161232526660916,-0.15866961919434194,-0.11104738884331977,0.012056970926162246,-0.29011649715598686,-0.09883405134812798,0.22702418874871286,-0.031214776887580186,-0.026067538340023785,-0.3655646720336818,0.00029657551155871714,-0.06557235808836347,-0.06138787725909908,-0.16143615303032038,-0.0995571596084489,None,-0.07322068884854681
MN15,None,None,None,-0.07824770127928539,0.04376267450955585,-0.07516756611268594,-0.030623859403041662,-0.08638658433969147,-0.22357140757956195,-0.1336016571208334,0.04739968288683167,-0.0399916098717228,-0.05215802185956089,-0.39440256544055946,0.050204903570964146,-0.0310763057617281,0.03395152122542256,-0.12898065365626937,-0.04668656861435926,None,-0.07159848242790784
SCAN,None,None,None,0.07565738659527148,-0.013536726940767983,-0.15516936783155608,-0.10644597103540517,0.012534220786730327,-0.28674877075429533,-0.09807867649060131,0.2247124497039405,-0.02757727666388239,-0.02251358255723466,-0.36698999156011564,0.01119876033585323,-0.0551854401737075,-0.060499133888265035,-0.16005648607039863,-0.0970471120442614,None,-0.07035910741179348
HSE-HJS-D3(BJ),None,None,None,0.13690993506441756,-0.04960846626930933,-0.1326173513648399,-0.07957783740397498,0.0021001427918474007,-0.3179971887513699,-0.09433135378639318,0.17342840305999843,-0.0628765251658778,-0.06717946841677776,-0.3620343003733691,0.02525379130028979,-0.04827804125238352,0.009319557859614282,-0.13117086931002264,-0.11330863379928596,None,-0.06949801286358978
PBE0,None,None,None,0.16070476964215535,-0.06887286669637518,-0.12207700196820806,-0.06620043016567756,-0.000666168131726721,-0.30952092472605597,-0.09661483106714368,0.1511937749181508,-0.05508966468123927,-0.059940079530300255,-0.37040180315309634,0.05186942490844299,-0.026939177024117578,0.010043628722311019,-0.13316409347564973,-0.11305283303344758,None,-0.06554551721637361
CAM-B3LYP-D3(0),None,None,None,0.13878804140243886,-0.12357149505453052,-0.11038135176870552,-0.05887912680278471,0.05735844161800464,-0.28882075287483666,-0.031666013917122926,0.018630939092455265,-0.09145348029262519,-0.09393958367279102,-0.2703825282310739,-0.04636311411556101,0.0034649882392936778,-0.04857755287419683,-0.06771133480170416,-0.023971172178937555,None,-0.06484219351454235
LRC-wPBE,None,None,None,0.13154356398538378,-0.05132629201942001,-0.033660093845315465,0.020816696328748982,-0.004375405767591161,-0.26651556829423,-0.08690138985376984,0.020569498274371188,-0.020051354459374116,-0.02831662041451557,-0.38162430152930654,0.0422154351647747,-0.06457275003224054,-0.01229628576649385,-0.15446962645956966,-0.1340425287398171,None,-0.06393793896427283
MN12-L-D3(BJ),None,None,None,-0.021279361886216704,-0.0712828824347518,-0.1876602882848726,-0.15301435008635023,-0.0685507252675392,-0.16356545416310325,-0.1311314388863631,0.10073354252523609,-0.07118243221952893,-0.0686634339519302,-0.3024092494113754,0.1214006037243302,0.08222499499857375,0.008155043275457866,-0.06816835026452478,-0.00891727058617065,None,-0.06270694080744556
HSE-HJS,None,None,None,0.16679745652384656,-0.07285534216348068,-0.12329682916425895,-0.06728885623256217,0.0034847867178693266,-0.309408873624209,-0.09079512895118429,0.16229276619361627,-0.053394843450108614,-0.057933505454112195,-0.36547654519476086,0.050849296733253835,-0.021530260922545653,0.011874335522472405,-0.1274701542843766,-0.10735417538628084,None,-0.06259411707105134
MN12-L,None,None,None,-0.016891363088275716,-0.07335795849216417,-0.18671658332734795,-0.15161405144365828,-0.06886710133114424,-0.16184676853132798,-0.13254438810846333,0.09776977751921412,-0.07021713501552616,-0.06773441226493362,-0.30448863575413104,0.12827464418864917,0.08628083239918867,0.007377363231650679,-0.06899950070921244,-0.00931875846668064,None,-0.062055877449635186
wB97M-V,None,None,None,0.029755175268474227,-0.040690689119019297,-0.08107540323461228,-0.02563752273594954,-0.0012145458698244113,-0.22796909907714813,-0.0629480325504107,-0.043781658571236226,-0.024373343843050545,-0.030940403467267823,-0.32437457993341473,0.013215696514018646,0.015845835095426742,-0.07122343506713069,-0.06831252986702828,-0.016600814826474703,None,-0.06002033445529048
wB97XD3,None,None,None,0.12579460878596904,-0.14744823866553314,-0.060600402995243774,-0.006716794128878746,0.0421439274577363,-0.26111523738827996,-0.038823515538297305,0.013458386651368438,-0.028324191499687654,-0.03530393649465293,-0.28274377743907575,0.007372573545349826,0.025134296823905153,-0.09735846365070334,-0.1017565867495998,-0.05744739021488152,None,-0.05648342134378157
wB97X,None,None,None,0.11148565192329103,-0.1436712609704143,-0.0273676943356596,0.0246187302811275,0.034048644803289244,-0.24680218793070333,-0.04252646189293414,0.00797662563051299,-0.02512579619742551,-0.032361219506677356,-0.26587899527179776,-0.0025380822858783745,0.05866931325126027,-0.14354648175481322,-0.11317490652450946,-0.05761125726589889,None,-0.05398783612795193
mPW1PW91,None,None,None,0.20467278377225573,-0.11429687032201849,-0.11557468011207608,-0.055189728998900046,0.01881154518166571,-0.30381594314958604,-0.06103914194949371,0.13724976918796822,-0.04202066328716579,-0.04598829950399286,-0.3475995860237415,0.0573011087882969,0.007087519469597851,0.010727981828275302,-0.10248537062813323,-0.0819531335017388,None,-0.05213204432804918
M08-SO,None,None,None,-0.036274663727763654,-0.04516498887045183,-0.036013588784184175,0.012786933283132613,-0.016921812224638354,-0.23969067901958424,-0.0426390000863737,0.03672752419125652,-0.024583701570415884,-0.03663676175070263,-0.29394984557186327,-0.020723621452549242,0.0782726343889382,-0.1032048846411317,-0.06903653814509497,0.00675176375070347,None,-0.05189382688942018
wB97XD,None,None,None,0.15910085081278197,-0.16282113405812496,-0.08451851337617879,-0.02662286113756551,0.06462175204351271,-0.2703200812049186,-0.014316863386061142,0.04682976460522524,-0.04209769604024074,-0.049574925291201374,-0.2579271847232023,0.005683164660435194,0.03626372132778168,-0.08609829925449354,-0.08540158022934251,-0.06049482483339245,None,-0.051730919380311574
CAM-B3LYP,None,None,None,0.2108958105389088,-0.16160865666051707,-0.09612350063542395,-0.03751487433921505,0.06351039765092782,-0.2731512042429917,-0.02748955109760623,0.012330231939903548,-0.06792328474495048,-0.07286886058123618,-0.2765747925105269,-0.0034608535145028443,0.05406837980794921,-0.029651520763812143,-0.0499932085733491,-0.008484214761340656,None,-0.047752481405486435
M11-D3(0),None,None,None,-0.013428032152971071,-0.013632181811717067,0.029473399109318257,0.054445107726367944,0.039217191725964655,-0.25355138249270676,0.0235798003147811,0.039111689099234355,-0.055163796699124225,-0.03228827118609544,-0.23550406049542827,-0.08870774510136928,-0.06035067002436996,-0.06005696496496603,-0.08148973739427581,-0.03151377769392453,None,-0.04624121450258013
wM06-D3,None,None,None,0.1293958090008035,-0.12024771506157803,0.013639577975160603,0.0619724231546715,0.03945589828919868,-0.25481629081572577,0.02585917956985677,-0.03368194881854696,-0.009393563382640958,-0.01594619007949075,-0.24080038126517467,-0.08800907335718373,0.05428432675685363,-0.06716514591931791,-0.03672296527040777,0.013073170613805973,None,-0.03306893053810724
M06-SX,None,None,None,0.05960169731262627,-0.158583845601548,-0.046210886780985644,-0.0011482532315319417,-0.025048276422363507,-0.26259164087769526,0.03063313669703084,0.11601699948844832,0.034585071356549736,0.03584960231564163,-0.3105135499253987,0.14200956840531362,0.12740468106838865,-0.08470111903743618,-0.03606812565122877,0.04045825281692365,None,-0.021144168004204083
M11,None,None,None,0.12482024202328765,-0.08500052741263,0.06474690834461888,0.10162798549647283,0.05284064444273165,-0.228688867818454,0.03166332765196285,0.023123617422744942,-0.008405174584717748,0.011883420273712659,-0.24096137751368954,-0.01895970503423539,0.03840673608773324,-0.020100945226493184,-0.04355109466110172,0.004221489952720913,None,-0.012020832534708498
B97M-rV,None,None,None,0.07563851004780148,-0.13254004323691787,-0.0628627343013468,-0.02413620721188164,0.0055385616901792905,-0.21571404507993563,0.04517893886399561,0.21734467743498156,0.04770279204134729,0.06732134971432639,-0.28766528838611277,0.11851873414756374,0.13786433233707737,-0.16119769242819368,-0.016964743240639492,0.027369811598241808,None,-0.009912690375594583
mPW91-D3(BJ),None,None,None,0.240955384238379,-0.0806254023292392,-0.07698781285117529,-0.029107661965160923,0.11455459485254796,-0.27945985984309585,0.07456445353324512,0.3075812390842175,0.0032011623577589037,0.008679887458705435,-0.22696555039195945,-0.07050777300733092,-0.019620061459705882,0.04252196934634851,-0.008282361025494447,-0.05355381983502493,None,-0.0033157257398115304
TPSSh-D3(BJ),None,None,None,0.20212836820982816,-0.14451280072741815,0.0048990830957478014,0.06666399505102316,0.024123724757611025,-0.22363500334249514,0.02826596803350949,0.19242629231329972,0.07422762937293705,0.07388208900397814,-0.27679967840569936,0.018255949849954902,0.0007640037236425883,-0.01219920093259824,-0.03565320350215228,-0.0331557407811604,None,-0.0025199077674994716
B3LYP-D3(BJ),None,None,None,0.2888190558647738,-0.22294465160778357,-0.07938185549498016,-0.022677028540574875,0.13187712174726018,-0.25626952379559226,0.10757767776221222,0.18431930603682278,-0.00805151346209808,-0.0058460204540550995,-0.16707987952696385,-0.026433716051453896,0.11940998535525865,-0.033233523334793215,0.06080815637926187,0.07308710241437157,None,0.00899879333072913
TPSSh,None,None,None,0.262514497538487,-0.19722194920734942,0.027778115283092566,0.0952198831125643,0.029812499223480025,-0.20665416727576058,0.043880119697774625,0.1738971221448489,0.09805580063507775,0.09734356488153069,-0.27771383722449616,0.06506929408955207,0.05528047624534552,-0.004373681214629823,-0.022572517532435395,-0.013379251737785763,None,0.014183498041206017
PBE-D3(BJ),None,None,None,0.2677244030671424,-0.09439236252769583,-0.02955989369913856,0.018217691977436813,0.10266085926645203,-0.2422209745870753,0.06979459171558437,0.34225941731384435,0.0499552891475467,0.0544681020674763,-0.23060035124455389,0.003992384322780572,0.028144914417006638,0.03874403653221907,-0.0019415361065186802,-0.0076748606487930205,None,0.02309823193835712
B3LYP,None,None,None,0.377422035539054,-0.30882009388405934,-0.04101620603048814,0.0236480152877582,0.14410280920264315,-0.2316578029914838,0.1405510835462164,0.15830396951800943,0.03250763062997351,0.03410764277456591,-0.16335427695465543,0.04075312446227722,0.20054452146435092,-0.02083948711242389,0.08482822243422544,0.10887977795175494,None,0.036247560364857406
TPSS-D3(BJ),None,None,None,0.2575131347380685,-0.17233082718856824,0.05315827786095889,0.11493324715127978,0.06215169707416899,-0.18818137640655921,0.0968334415109272,0.25783923798775304,0.12853653333721385,0.13130247233691777,-0.22304234951923646,0.011859322513650773,0.034804967154156694,-0.003456403967104848,0.018311171484360306,0.011621105002564372,None,0.036990853191909465
PBE,None,None,None,0.3214246533201096,-0.14302557526637263,-0.007342588336640961,0.04526232691216126,0.10920384311743978,-0.22702937514772453,0.08666801623079132,0.3287492075570862,0.07344745948606553,0.07764510180688146,-0.22924747118533487,0.04557031506612184,0.07699210672199358,0.04585062834183956,0.01189371110042593,0.013421509187498692,None,0.03934274180702136
mPW91,None,None,None,0.374071357080148,-0.19555854353629948,-0.001587834389194893,0.05658627210903291,0.13263848583524412,-0.22355339907616215,0.1261434717567116,0.3103961577332649,0.08797035509683851,0.092991490575392,-0.207171001142989,0.052189153416805405,0.11333769341563961,0.05081496459112977,0.04666729793808947,0.04691693302892825,None,0.053928303402036186
TPSS,None,None,None,0.32421017277229136,-0.23222350499075536,0.07972459624853369,0.1476442044275975,0.06938270484759294,-0.16936372730235147,0.11647344361458646,0.23858423637815476,0.1564187923078198,0.15879044628668817,-0.22252130291182,0.06314181538637928,0.09529900873303862,0.005542961124707006,0.034255661382097326,0.035726663835417866,None,0.05631788575874862
M06-L,None,None,None,0.21275125794464378,-0.34892356131410773,0.13377336195051664,0.1620257476993525,0.06044804302196418,-0.19378880783633023,0.234205677314891,0.3444138826279964,0.15189834746286604,0.16090798029015146,-0.09112541164642345,0.03583787757762162,0.2563428686185217,-0.24833155310916322,4.892882263007437e-05,0.06039164279233928,None,0.058179767638591874
M06-L-D3(0),None,None,None,0.21593080663135,-0.3516174001162043,0.13544574466215428,0.16398767603410203,0.061348876418963576,-0.1938764176594785,0.236360316785111,0.3423509428565682,0.15324962477025078,0.162272800711325,-0.08920518478045222,0.033836895443774516,0.25855724255277696,-0.24744640980467186,0.002174925572483619,0.06304053380377381,None,0.059150685867614176
VV10,None,None,None,0.31415803942969145,-0.1825692089578788,0.03363469701141164,0.07918603642110458,0.16554306854860115,-0.19480288691568712,0.20014078418603432,0.34673190750775224,0.10031541896452131,0.11096604887373097,-0.11778245828278112,-0.022643306809343813,0.1608920612218262,-0.04300274519366673,0.10154964406167602,0.1315591573772834,None,0.07399226609026724
B97-D3,None,None,None,0.35589062344508454,-0.31432392606975235,0.026654186502832362,0.0838224970696484,0.21333751981468568,-0.2217128825648607,0.27121946715543405,0.30910337949273664,0.1137581934274101,0.12416143089417375,-0.07202433948277355,-0.04000993522092981,0.16371795150516785,-0.03165523220377027,0.1395355421116497,0.12616881577627814,None,0.0779777057283134
rVV10,None,None,None,0.32601260420596834,-0.19668337029409075,0.03861099539216485,0.0848583588748158,0.1698795099060315,-0.1926921285518678,0.20963358991801684,0.3466341233411571,0.1053934172314452,0.11609205349467011,-0.10998287647015188,-0.019597197386074197,0.17162819119739559,-0.042774999381519456,0.1092148995196386,0.13863767518605294,None,0.0784290528864783
B97-D,None,None,None,0.4133213960911138,-0.29666633976409934,0.0358197778739951,0.09239490168996119,0.23649121571132953,-0.23928192841711846,0.32092344032194076,0.3124428985588179,0.13385868316785052,0.14343461516323983,-0.06463356541718324,-0.022982801678754914,0.16366736551389277,-0.02148260950401691,0.16984881313648265,0.14882455665942598,None,0.09537377619417982
BLYP-D3(BJ),None,None,None,0.4375325786952127,-0.30833749154033,0.020875938230198995,0.07819531560673347,0.24079850277499787,-0.17585713198172395,0.2889208257137581,0.32756147076505193,0.11095802880211354,0.12074570630396615,-0.027274830271333757,-0.03362072571239606,0.22676358701429458,-0.014383892672564538,0.2096044399599044,0.19844981268691336,None,0.1063082583984248
BLYP,None,None,None,0.5475038109083235,-0.4155343718626765,0.06927733161053656,0.1363824155100449,0.25632238334165125,-0.14490572369535054,0.33112342680199774,0.2959842737480962,0.16230612563858468,0.17135960419411259,-0.02170227025156621,0.04966972608231018,0.3277234375834528,0.0012840613713985135,0.2403766557358326,0.24444949524864812,None,0.14072627387283726
