method,aceticanhydride_vacuum,amide11_vacuum,amide12_vacuum,amide21_vacuum,amide22_vacuum,basicepoxide1_vacuum,basicepoxide2_vacuum,borohydride_vacuum,carbonate_vacuum,cl2co_vacuum,diazonium_vacuum,epoxide1_vacuum,epoxide2_vacuum,ester_vacuum,furan1_vacuum,furan2_vacuum,furan3_vacuum,imine_vacuum,iminium_vacuum,lactone_vacuum,Average
M06-2X,None,None,None,-0.05135135648858253,0.023475101659479903,0.008038760557956574,0.01604601120170296,-0.06806466918989451,-0.3983312317715927,-0.11540632882614382,0.004691963489190869,-0.07851659830394249,-0.03182921652404026,-0.8028263529171877,-0.08355226563630125,-0.10308752504602947,0.02760718014490044,-0.11501415090471329,-0.07919626745359516,None,-0.11545730912554952
M06-2X-D3(0),None,None,None,-0.04807613251968074,0.020864129732007415,0.009488706400817774,0.01783821931285918,-0.06727850463250878,-0.39825434868118176,-0.11372814736183451,0.002883926507616809,-0.07736634249417916,-0.030704563919223406,-0.8012032228399516,-0.08517188544293691,-0.10092144046011918,0.028345996865848874,-0.11307025828602259,-0.07702214462207,None,-0.1145860007775349
revM11,None,None,None,-0.044331797619415844,0.001688743236639357,0.08608474018248255,0.09353487822675174,-0.033906421903575346,-0.3438158477021128,-0.15561042672956568,-0.022789648433863045,-0.054375664652415744,-0.02945144629549485,-0.783312135513137,-0.020817430574023185,-0.13106268645679656,-0.00863746041904567,-0.22804239070832374,-0.13238680464649183,None,-0.11295198750052424
M08-SO-D3(0),None,None,None,-0.18735667115556603,0.0214768161728407,0.018716377859566605,0.00984687332291129,-0.03952567668535277,-0.3497687496231025,-0.05868937922843338,0.06442661652972913,-0.07701333444444013,-0.03274330459425462,-0.6894745233086371,-0.08536711363258392,-0.04585888684015505,-0.12572299615481844,-0.11117863604609812,-0.027672409461650838,None,-0.10724406233062783
mPWB1K-D3(BJ),None,None,None,0.011384297635598206,-0.046950828806405276,-0.015771573632956858,-0.004277497730265316,-0.10342522497429864,-0.36692441077191273,-0.1328936833278474,0.06863919975734387,-0.06006574254401756,-0.01278518217567098,-0.7960652506474926,0.10865995358563776,-0.05382159283285854,-0.025469627002581968,-0.17345000382155004,-0.11109655630610478,None,-0.10714460772471143
wB97XV,None,None,None,0.004047949090672353,-0.04175207450816899,0.02219174984041587,0.0313015057308618,-0.01730571821079729,-0.3367897444939432,-0.10340630550575385,-0.017152300791453672,-0.05029182127718364,-0.0035954298024309765,-0.7675689990902921,0.017279960745356437,-0.06194874003769861,-0.11132265796738336,-0.15525806181149435,-0.10219131544607679,None,-0.10586012522096065
BMK-D3(BJ),None,None,None,0.07209802228838197,-0.15627048132700347,-0.05489754226603957,-0.043323266205564544,-0.0436959679559386,-0.3509258491018372,-0.08686895267357873,0.10784232359350655,-0.0687518391169717,-0.025987731679176774,-0.6599461188586077,0.02201350622624907,-0.006654633730460569,-0.15749734248574343,-0.10965947256527529,-0.07173178314622641,None,-0.1021410705627679
mPWB1K,None,None,None,0.03414150166576546,-0.06611431847728903,-0.008471794487214766,0.005343068247872463,-0.10214818580844592,-0.36053915235956596,-0.12947620904239654,0.05838811570565568,-0.052666410493917605,-0.005596243228000981,-0.7989448752827515,0.128367608673611,-0.03323562178300732,-0.02366194648936232,-0.1708289881676817,-0.1069937765188011,None,-0.10202732674034563
LRC-wPBEh,None,None,None,0.1119730228025283,-0.05005069707035581,-0.004268528443730929,0.006338795961031235,-0.018273061711475972,-0.3842727395156296,-0.12243665252082078,0.06949167305432224,-0.0680635975025441,-0.019627113188813484,-0.7937517210939021,0.05985895535633954,-0.08484208814400956,0.00876421899557513,-0.172747827250688,-0.15066182578155926,None,-0.10078557412835833
M06-SX-D3(BJ),None,None,None,-0.08863201124270875,-0.04403063197125941,-0.03828357029526383,-0.049500534283605284,-0.03437708116300149,-0.41232895008418413,-0.02276972168626212,0.12652360548952227,-0.05854880767602405,-0.0012305142397291207,-0.7292863906549453,0.027965352344638053,-0.027816142216918183,-0.07766665421271511,-0.09637119354550172,-0.061390697391113865,None,-0.099233996426817
PBE0-D3(BJ),None,None,None,0.10123793502400351,-0.027942022337940648,-0.06155299355492389,-0.05066181887532953,-0.0014098659696742688,-0.40586184249930707,-0.10425393517835187,0.17662215756058888,-0.0846867369947867,-0.03327734464542441,-0.7644180849607732,0.0227539474685403,-0.09002396320928424,0.020675503213097888,-0.149274587882637,-0.13124224146033936,None,-0.09895724339390885
SCAN-D3(BJ),None,None,None,0.04404288657268162,0.0034410703197493833,-0.0918204786777121,-0.08260552895839986,0.02038265311347592,-0.368241009870975,-0.09405841136401046,0.23368244699406318,-0.04283403641849931,0.017631693532523515,-0.7555495305083303,0.006544745070582519,-0.09038453602865583,-0.043442865548056764,-0.1694141014918077,-0.10382044563697762,None,-0.0947778405562718
LRC-wPBE-D3(BJ),None,None,None,0.07996785849518709,-0.01972157812717177,0.05659720725457443,0.060251333231185145,-0.0023841021183982378,-0.358536518491717,-0.09444617109300298,0.043835627697882774,-0.04532008352802782,0.0022854217724142816,-0.7704184952640718,0.010931402346150821,-0.12617012571708625,-0.00538354025604815,-0.16935305271651194,-0.15167205989069643,None,-0.09309605477533361
SCAN,None,None,None,0.055624814889175506,-0.004579533368352508,-0.0883202218733225,-0.07800410842968339,0.020859902974044,-0.36487328346928355,-0.0933030365064838,0.23137071067163947,-0.0391965361963483,0.021185649312219064,-0.7569748500347642,0.01744692989487703,-0.07999761811090629,-0.042554119454874056,-0.16803443453111255,-0.10131040079436539,None,-0.09191625843922134
HSE-HJS-D3(BJ),None,None,None,0.12151626214850714,-0.04667230379975511,-0.057298697972229785,-0.04454566487956324,0.005571098970047666,-0.40196240262128996,-0.09075097997341,0.18549549577513078,-0.07520507704852601,-0.02355329371080808,-0.7568269343080366,0.031213049260375693,-0.0710876261414953,0.025608834792886264,-0.13789656274947446,-0.11708778276312523,None,-0.09084266156379789
BMK,None,None,None,0.12145791002196608,-0.2026372756062824,-0.0370013310304892,-0.020456745819718243,-0.039256142326393184,-0.33780417187924894,-0.07400193878243827,0.08541457342560962,-0.05050421985962116,-0.008192488344381616,-0.6630323378851223,0.06074360069067124,0.038099117738541896,-0.15185012254756397,-0.10115384471970713,-0.0596143752949486,None,-0.08998686201369538
MN15,None,None,None,-0.09107373642334363,0.03611445409570522,0.02412126123470846,0.021388550535901663,-0.07286346216617536,-0.30510988158550517,-0.13612383433682704,0.05465860013612036,-0.04492634817568092,-0.003803588849654489,-0.7839131455407324,0.053987546136432085,-0.05351092572231594,0.048136510664493815,-0.13405305590274308,-0.046179886703126984,None,-0.08957193391267146
MN12-L-D3(BJ),None,None,None,-0.040705952040994156,-0.065355313618412,-0.14135349622189985,-0.1455134638962739,-0.04177128114428028,-0.2864348555925589,-0.1249821293228124,0.12171189798202288,-0.08170196750818853,-0.023973045884122565,-0.7058943501050255,0.13029627107099326,0.060303337140742,0.02420698237743394,-0.06978065429047468,-0.012167832662497881,None,-0.08769474085727179
MN12-L,None,None,None,-0.0363179505237981,-0.0674303896742776,-0.1404097912643752,-0.14411316525358192,-0.042087659928687175,-0.28471616996078364,-0.12639507582875112,0.11874813025519905,-0.08073667030573256,-0.02304402419712599,-0.7079737364477812,0.13717030881451037,0.06435917454135692,0.023429305057522196,-0.07061180473438894,-0.012569320542234476,None,-0.08704367749955809
PBE0,None,None,None,0.14589444111323885,-0.06663230652444585,-0.04477826751638826,-0.029688956139009178,0.0027861509581832596,-0.39336541249967133,-0.09308215340273378,0.16332584029365366,-0.06721774473939514,-0.016094719720588388,-0.7653466358887224,0.057850748594856304,-0.049719642994531944,0.026243973360315465,-0.1398172032268264,-0.11688172987872601,None,-0.08665772613817445
HSE-HJS,None,None,None,0.15140378088713427,-0.06991917697312458,-0.04797817577319563,-0.0322566864304991,0.006955742896069592,-0.3933740847733272,-0.0872147524220396,0.17435985618639996,-0.06572339533275683,-0.014307330748142522,-0.7602691764070797,0.056808551974084666,-0.04433984581011065,0.028163612457291175,-0.13419584500302656,-0.11113332979172384,None,-0.0839387659415029
LRC-wPBE,None,None,None,0.12649842730661903,-0.059789526517486584,0.07340213794632228,0.08153462361654819,0.0014885399749353155,-0.345557818126396,-0.08376761499255317,0.028144647365431194,-0.027967281229200742,0.01931452542107893,-0.7723721731020453,0.047702899151845723,-0.0842386535787817,0.00018816532675211876,-0.16046925443952462,-0.1382811258657416,None,-0.08088559260888731
CAM-B3LYP-D3(0),None,None,None,0.1307864486994268,-0.1271550370811929,0.000147394692396972,0.006451543674775871,0.05239842714747339,-0.36035261549073466,-0.032402921926730915,0.02533086343306609,-0.09612544899251346,-0.043070547910250265,-0.657902452921219,-0.03895541510011317,-0.017721491061345605,-0.032832599181537185,-0.07508462690788764,-0.01983150985970993,None,-0.08039499929913098
wB97M-V,None,None,None,0.02198331752971226,-0.04327496323155517,0.020718581789676806,0.03176230085692345,-0.0005053018892811849,-0.3110964929887038,-0.0645362845803717,-0.03739162853753741,-0.03370602399084896,0.0151253929780877,-0.7194737557294635,0.015671312573014996,-0.008132408672615884,-0.0545065309823761,-0.0725442331902295,-0.021118347849628242,None,-0.07881406661969977
wB97XD3,None,None,None,0.1182762007494377,-0.1547205934525269,0.04474524932976317,0.05041771287383375,0.041554265192477756,-0.3448610130874018,-0.038890225807301754,0.023525131255280905,-0.03455748774349871,0.01374322529034738,-0.6789913260179788,0.013429329953805655,0.0026073023236831434,-0.08256262726178436,-0.10686078279556391,-0.05958700878997613,None,-0.07454579049921269
mPW1PW91,None,None,None,0.1905068565695813,-0.11265822631762129,-0.03835167498682503,-0.019323404614887546,0.02149259795590756,-0.39076364074792846,-0.05758563041286866,0.14966299635350094,-0.05338420096632814,-0.0016420567329359984,-0.744385748890968,0.06341131654969996,-0.014965944967922121,0.02663491410111943,-0.10942039864661242,-0.08473893302868606,None,-0.0734694486739859
M08-SO,None,None,None,-0.04941721915571384,-0.05014485395640242,0.053701266663492196,0.057200597869339426,-0.026282791724204915,-0.32459319228438904,-0.05173392768863491,0.04921612965506052,-0.028753266192008336,0.012509411432572472,-0.6943165143834303,-0.015256949695666731,0.052832017330674455,-0.08578044606075011,-0.07477569588393862,0.009083217656184491,None,-0.07290701352611348
wB97X,None,None,None,0.10534443460917324,-0.15222151480492535,0.08652988058955396,0.08921220311747871,0.030546916471231016,-0.3259680727598632,-0.044801793609528205,0.014751351389794184,-0.030061797109674694,0.017909570906349984,-0.6595336511783042,0.0031068404679948686,0.03524699294378805,-0.12842748277866436,-0.1176593112335275,-0.05941745455617822,None,-0.07096518047095636
wB97XD,None,None,None,0.1506045711845726,-0.16840482555272243,0.01662189735570405,0.027372108820444364,0.06571960202761014,-0.35364161212845596,-0.013707392142623167,0.05864041164404416,-0.04861811337107809,-0.0007750661544515766,-0.6531879554199689,0.012582636357698743,0.014157510313164506,-0.07132636535899207,-0.09054263411661102,-0.06236966560206098,None,-0.06980468075898286
M11-D3(0),None,None,None,-0.023013445346263747,-0.024414173171861387,0.1290848747458781,0.10458373521973613,0.04184815919679938,-0.3397312696222102,0.01611597844532703,0.0518456434296103,-0.05371958147133212,0.023748187668739446,-0.6374040127819812,-0.07491994967508331,-0.0849958896968024,-0.042531055072065845,-0.08945107873856416,-0.024937005246337088,None,-0.06424318013227569
CAM-B3LYP,None,None,None,0.20289422055669862,-0.16519219868872623,0.014405248548027192,0.027815796139892327,0.05855038318116997,-0.3446830668573429,-0.028226461829562868,0.01903015628206116,-0.07259525072249008,-0.02199982209789356,-0.6640947144798701,0.003946842780143129,0.03288190322811179,-0.013906564348803841,-0.05736650067953259,-0.004344552441339636,None,-0.0633052863393411
wM06-D3,None,None,None,0.12299930793816681,-0.1329268716256872,0.1280039372553463,0.1256131486843849,0.037801127404599594,-0.3455956610217187,0.022195179357802547,-0.026896196999653513,-0.014127242093111217,0.034648647289647845,-0.6356815855851516,-0.08469774312402258,0.03220266314612901,-0.052822251446254166,-0.04159070785627754,0.011232025721790235,None,-0.05122763893462558
M06-SX,None,None,None,0.044483958876711575,-0.15896377590066832,0.03711641088906522,0.036193397069786686,-0.016293192901107176,-0.35642249203805226,0.028809293808668555,0.1293385241370229,0.026220385063055563,0.08308109159775931,-0.7094918414059749,0.15066227604797253,0.10514160993917222,-0.06937365896793385,-0.04142153730349307,0.03908005819441457,None,-0.04198996830585003
B97M-rV,None,None,None,0.059972834697828846,-0.118418498738024,-0.002448757904345939,0.005075659099670406,0.015043626770679499,-0.29735205294462363,0.04999040266715283,0.224051083531512,0.028296429845034655,0.10591795155882511,-0.6752664744797926,0.11957891968165242,0.11297301004160222,-0.14213554390289312,-0.017812635501553282,0.017159063207598434,None,-0.03221093639810476
M11,None,None,None,0.11522175103210307,-0.09580455456564085,0.16431979005482755,0.15174321662744195,0.05549207216648423,-0.3148899798413269,0.024233166274816222,0.03585187640793475,-0.00696939489143025,0.06791928591949509,-0.6428403307643636,-0.005163512170858075,0.013767021279607753,-0.0025790109200903204,-0.05150876518814475,0.010798360361549806,None,-0.030025563013599647
mPW91-D3(BJ),None,None,None,0.22356932798979945,-0.06892570236542568,-0.021579534031793312,-0.004898508137258853,0.12134740717548305,-0.3565375227876241,0.08087498247117188,0.3103195863161987,-0.014872529686771817,0.046784411951821085,-0.609245841100888,-0.06855337461007227,-0.04030817485317672,0.057956383821621105,-0.015604920196993896,-0.06026544885721608,None,-0.026246216056320337
TPSSh-D3(BJ),None,None,None,0.1866727567050433,-0.13708483613250325,0.06862887470560361,0.09517108338262466,0.02792051023910837,-0.3088437455393438,0.035266267866767065,0.19874863127145842,0.060130771871003345,0.1147091385578004,-0.6719391570066742,0.020823219725775496,-0.020448579474451483,0.0038282343045022687,-0.04174522234887278,-0.0373296509664864,None,-0.02534323142741531
B3LYP-D3(BJ),None,None,None,0.27579898166842853,-0.2174251857641795,0.005997783106917052,0.023912339858709518,0.12927425126410788,-0.33236761443691343,0.10950088547312294,0.18982749351168524,-0.018201090721021412,0.03983703404275624,-0.554471042593671,-0.02065691596930999,0.09891071363286119,-0.017036746115055873,0.053789200239633975,0.07459903602858389,None,-0.009919429798334043
TPSSh,None,None,None,0.247058888754504,-0.18979398189008587,0.09150790689449516,0.12372697144571258,0.03360928470497737,-0.2918629094710624,0.05088041953721936,0.18021946110146084,0.08395894313314406,0.13817061715770163,-0.6728533185478197,0.0676365694054296,0.03406789304879824,0.01165375130321561,-0.02866453637915589,-0.017553164644687015,None,-0.008639825277884528
r2SCAN3c,-0.07740799684003034,None,None,0.08420865937549475,-0.01599841882256386,-0.041077602106319853,-0.0574784345749893,0.009544955648367609,-0.0032412290948401847,None,0.25999062521652777,-0.020680979065830208,-0.009992427675135548,0.0073389345998132625,0.02223157180587058,-0.08057785192376662,-0.007771746436465322,-0.11091546901392754,-0.07715207780438423,-0.023008805952170065,-0.008352252509667594
PBE-D3(BJ),None,None,None,0.2493160635007021,-0.08125494552354945,0.02600408330859491,0.04415052744650721,0.10964259489766416,-0.31367500171590046,0.07613900701413669,0.34440372063411295,0.030771894442886107,0.0917703691825249,-0.6100130610799296,0.005692541167018135,0.006367308267749445,0.05469070017044535,-0.00887268105891166,-0.01559109208965055,None,0.0005963767852750155
TPSS-D3(BJ),None,None,None,0.24069322526948658,-0.16065864067081598,0.10757166163618767,0.13886528552113817,0.06704872653450043,-0.26947689342775333,0.10513694699366911,0.2601922663531854,0.11192312474566453,0.169638794420411,-0.6125698496674926,0.012812847524146765,0.014066316746937936,0.012398429359918988,0.012112024077348349,0.006019377284561251,None,0.013485852668818389
PBE,None,None,None,0.3030163137536693,-0.12988815826067948,0.04822139139189437,0.071195159658883,0.11618557874865192,-0.29848340227500286,0.09301243424550512,0.3308935108789016,0.05426406478140495,0.11494736892193007,-0.6086601810222574,0.04727047463270806,0.055214500572736386,0.06179729198006584,0.004962560705655824,0.005505275025839296,None,0.016840886483744124
B3LYP,None,None,None,0.36440196134270875,-0.30330062803890845,0.04436343256986228,0.07023738368704259,0.14149993871871744,-0.30775589091045635,0.1424742912571271,0.1638121569913251,0.022358053371050176,0.07979069727292404,-0.5507454427421644,0.046529924544421127,0.18004524974350025,-0.004642712611941624,0.07780926629459754,0.11039170884439199,None,0.017329336895887344
M06-L,None,None,None,0.20073423949039182,-0.34696539832784035,0.18873563503955887,0.1698657532402321,0.07317881548592775,-0.3217837023110092,0.2427952290410858,0.35238306911908,0.1363178672885782,0.20070569605145125,-0.4974964500198815,0.03354452745508451,0.23698514506180746,-0.23448624901728865,-0.0017613326952108709,0.049084860026161733,None,0.030114856558008055
mPW91,None,None,None,0.3566852981092198,-0.18385884357093915,0.0538204498733376,0.08079542321303954,0.13943129815817923,-0.30063106474149226,0.1324539979722897,0.3131345049636994,0.06989666305385459,0.13109601506850765,-0.5894512864087671,0.05414355181251727,0.09264958002216878,0.06624937634560049,0.03934473604501476,0.04020530672831235,None,0.030997812915283914
M06-L-D3(0),None,None,None,0.20391379089789993,-0.3496592425730874,0.19040801502884785,0.17182768429733028,0.07407964616212528,-0.32187131485650616,0.24494986578277,0.3503201266253032,0.13766914187516105,0.20207051647262478,-0.4955762204346552,0.031543542598888745,0.2391995217168646,-0.2336011057127973,0.0003646667746711444,0.05173375375994491,None,0.031085774275961608
TPSS,None,None,None,0.30739026602605807,-0.2205513184730031,0.13413798002376248,0.17157624551825773,0.07427973158634912,-0.2506592443235456,0.12477694365263106,0.24093726474358712,0.13980538643861914,0.19712676836708778,-0.6120488057793313,0.06409533767607341,0.07456036104662173,0.021397791729382186,0.028056516695887237,0.030124936116641347,None,0.032812885065317404
VV10,None,None,None,0.2980672948021747,-0.17028867621809735,0.09357204124643384,0.10738342364592832,0.16724406465580582,-0.2654700746431906,0.20169045011639652,0.3434258055034179,0.0830341446565503,0.1496730745810256,-0.49593624358399135,-0.022800918500988098,0.13821663397755718,-0.025958743754946865,0.0953076849587404,0.12560098208907008,None,0.051422558970742896
B97-D3,None,None,None,0.33825729720406406,-0.30048001132387303,0.08513990867222797,0.11056286892824257,0.216616559431328,-0.30158312632098666,0.27933966576023006,0.311447809056991,0.09643085294154628,0.16272010004760754,-0.4578536090060709,-0.037916124656135246,0.144417975981188,-0.0166648724010543,0.1327954211879809,0.1208228017476262,None,0.055253344828182026
rVV10,None,None,None,0.3099295250285807,-0.1842635614438813,0.09865238241455987,0.11333370783069814,0.17143582844211983,-0.2631588254046255,0.21126473494545195,0.34328721240242505,0.08811171298418868,0.15481477201372787,-0.4880379415313695,-0.019721064221991755,0.14902472450198193,-0.025742157337171126,0.10298093240481919,0.13274970803064984,None,0.055916355691260244
B97-D,None,None,None,0.39568806985009325,-0.28282242774056865,0.09430550004339071,0.11913527627090403,0.23977025260639656,-0.3191521721716976,0.3290436362043881,0.31478733084232735,0.1165313426819867,0.18199328431512682,-0.45046283765973566,-0.020888991115507134,0.14436738998681933,-0.006492246978952289,0.16310869493361574,0.1434785453523493,None,0.07264941546380853
BLYP-D3(BJ),None,None,None,0.4217106282741941,-0.2929449542521606,0.08802167484460247,0.11624551266726282,0.24016604514017365,-0.24305065116380256,0.29351547724628935,0.3244003102844176,0.09485337270847362,0.16092442520486788,-0.4022047068610777,-0.031149675347202765,0.20766767521874416,0.001272286549897217,0.20245227313281217,0.19665431763983443,None,0.08615837570545787
BLYP,None,None,None,0.5316818604888517,-0.40014183457450714,0.13642306822494002,0.17443260984977238,0.2556899257076004,-0.21209924287588236,0.33571807832834183,0.2928231132674619,0.14620146954649155,0.21153832037421244,-0.39663214683976333,0.05214077916830534,0.3086275257863556,0.01694024331620892,0.23322448890874037,0.2426540002015692,None,0.12057639117991868
