method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
PBE0,0.169916131,0.280285187,0.173714531,0.074678848,0.157067177,0.027922994,0.189107071,0.04189758,0.189999002,0.066420332,0.049283489,0.03708887,0.107527185,0.010422292,0.082631618,0.037548225,0.201116496,0.053114619,0.18799231,0.053087421,0.118337126,0.050540492,0.093162333,0.030225925,0.048850499,0.003588541,0.338336181,1.034110208,0.532844601,0.167396679,0.038301966,0.026544761,0.130999131,0.044278852,0.018008938,0.038772451,0.136253335
CAM-B3LYP,0.135402994,0.225505282,0.18995823,0.049902392,0.112645968,0.045815273,0.28952215,0.018207922,0.264298907,0.043354151,0.008110474,0.029550031,0.078117112,0.031305437,0.016951884,0.001298125,0.068254333,0.045397984,0.276481067,0.019603601,0.064835289,0.065408851,0.005017746,0.103293377,0.02278341,0.055466782,0.073059409,2.353242405,0.166384552,0.009251467,0.030813524,0.001201633,0.032893123,0.020574145,0.003734932,0.084757946,0.14006672
mPWB1K,0.026082506,0.183694341,0.082737893,0.219748259,0.076361926,0.070464698,0.506662745,0.081299744,0.442826962,0.110492996,0.017213453,0.059449366,0.267823756,0.086020581,0.019909888,0.045119095,0.143777711,0.074975008,0.133963062,0.160524762,0.210948652,0.209788791,0.115565538,0.060142611,0.150875809,0.14367996,0.081739247,0.759558786,0.154828262,0.008859497,0.02634393,0.101007492,0.077139207,0.002545077,0.152927165,0.014621875,0.141103351
M08-SO,0.050844289,0.020603252,0.059175146,0.017764734,0.070691128,0.059670726,0.431066377,0.029940016,0.370827199,0.053095566,0.064884655,0.024804679,0.389273743,0.095097846,0.020036275,0.042679606,0.052778871,0.048416537,0.147404279,0.00441795,0.241120606,0.164896501,0.016393848,0.120397878,0.036274533,0.148982315,0.144121083,2.007612331,0.035362823,0.069629045,7.37E-05,0.035847168,0.005360173,0.00417801,0.020157309,0.025467314,0.142481875
wB97X,0.133354494,0.137793991,0.082009941,0.087806848,0.023378527,0.097438195,0.499292834,0.017007848,0.451360103,0.051126557,0.008194372,0.009559141,0.303540376,0.080493366,0.007839313,0.025869898,0.022519856,0.020969341,0.048884066,0.032867034,0.138262772,0.091334278,0.087323578,0.111808702,0.057960155,0.161803648,0.016860853,1.848488006,0.132313234,0.120796509,0.013832105,0.040251356,0.030404365,0.015837225,0.049397116,0.075956688,0.142609353
mPWB1K-D3(BJ),0.017001899,0.140740962,0.057582055,0.190226683,0.073553749,0.058560837,0.489976273,0.084739342,0.424003843,0.1120832,0.019240014,0.058630344,0.262546507,0.08566269,0.021205501,0.04451316,0.139753712,0.067697832,0.099112623,0.163980997,0.196915755,0.220805059,0.108319033,0.052832624,0.131268138,0.133914337,0.161326877,1.529841148,0.17904595,0.022102557,0.023799449,0.099537454,0.079554791,0.002242955,0.143436641,0.015591018,0.1586485
MN12-L-D3(BJ),0.040732396,0.078636565,0.069355987,0.128845637,0.11791726,0.086619146,0.258964513,0.139263653,0.082580084,0.12963177,0.0537509,0.082108917,0.221473701,0.032303833,0.016816697,0.081978462,0.028613776,0.042207648,0.519648354,0.025612151,0.060750416,0.095519802,0.208423711,0.089999457,0.06025458,0.156320352,0.017702825,3.210742914,0.08965612,0.071054534,0.002086754,0.033334068,0.040607624,0.023380814,0.134695693,0.017838661,0.181928605
PBE0-D3(BJ),0.156379713,0.222037706,0.123813235,0.025474274,0.16179064,0.051366163,0.156117377,0.050126291,0.153182017,0.070955318,0.054311241,0.038429783,0.117856482,0.009708873,0.087712967,0.038748095,0.196652001,0.044253256,0.2540199,0.06695569,0.150308301,0.07747029,0.079504279,0.022159756,0.015114234,0.01003877,0.482510721,2.591450801,0.586798151,0.191769137,0.044071068,0.024764409,0.139325868,0.04437172,0.001284172,0.039884717,0.182797706
MN12-L,0.043534834,0.093869477,0.06466358,0.119238186,0.119001398,0.088287669,0.261926495,0.138871914,0.085891084,0.12954163,0.053849911,0.082399719,0.223073271,0.032204198,0.01613885,0.082194747,0.031022452,0.039347027,0.511490503,0.024745365,0.058350909,0.094426631,0.209471633,0.086560099,0.066979079,0.153067886,0.038526243,3.34065262,0.08612627,0.067312032,0.001774384,0.034019235,0.04089508,0.023302944,0.136689365,0.016696863,0.186003988
r2SCAN3c,0.225572352,0.14164976,0.001662072,0.343368935,0.269461543,0.102215896,0.228035715,0.014924802,0.198893414,0.010653522,0.092629476,0.075321779,0.438547713,0.085829533,None,0.079536347,0.140926259,0.036984806,0.552663872,0.154287066,0.384678697,0.181604016,0.002216366,0.013380681,0.095856486,0.360703895,0.644600184,0.16092564,0.696283918,0.17001188,0.118074389,0.061320335,0.116988023,0.059791637,None,None,0.189684879
SCAN,0.182998664,0.184571024,0.039714712,0.405201199,0.262709636,0.108230739,0.356831076,0.028212328,0.34140993,0.032015308,0.071645464,0.068144879,0.540045845,0.107694833,0.123037673,0.076276004,0.126955466,0.033449353,0.562163738,0.157712378,0.471019547,0.223140277,0.00924155,0.002427246,0.11538164,0.400278343,0.796877809,0.174710619,0.666249131,0.154937916,0.137053194,0.053432401,0.128344221,0.05666191,0.1539533,0.000491919,0.204256146
SCAN0,0.057394472,0.218412007,0.017939065,0.094708583,0.073946299,0.037716401,0.111074886,0.085510738,0.090798659,0.099890943,0.041298502,0.005163639,0.08613391,0.032376089,0.077780145,0.022275644,0.165521288,0.062610165,0.217741814,0.146855293,0.119790113,0.150621269,0.08710996,0.125922939,0.038482859,0.041596228,0.532119006,3.659363952,0.47036328,0.093470738,0.030022508,0.075474662,0.115336902,0.000847146,0.045044512,0.023954263,0.204296358
SCAN-D3(BJ),0.178726106,0.167400064,0.051610672,0.419382626,0.264460341,0.113473634,0.365118855,0.026610556,0.350285871,0.031223101,0.072498401,0.068524044,0.542813833,0.10756141,0.123347283,0.076586088,0.124116218,0.036232632,0.578219714,0.155576029,0.477711799,0.217492336,0.012908885,0.005909512,0.125442057,0.403359613,0.837251272,0.561905413,0.67755944,0.16112417,0.138290655,0.054101026,0.129761579,0.056710024,0.158927765,0.000389356,0.218683677
TPSSh-D3(BJ),0.237804404,0.170870392,0.083061541,0.461412746,0.299260431,0.04742203,0.212988118,0.113532513,0.17055746,0.104665024,0.069300478,0.069336432,0.489403744,0.126657251,0.081972516,0.10566253,0.084798488,0.042364497,0.405777971,0.292817418,0.385699952,0.37113384,0.058887756,0.12740335,0.129387632,0.463260355,0.666195448,2.354592205,0.454632033,0.135534132,0.11035446,0.08181148,0.098139882,0.06571843,0.1755182,0.02664994,0.260405141
mPW1PW91-D3(BJ),0.145707378,0.267489769,0.051906454,0.085010065,0.188313677,0.079262227,0.073896363,0.070851757,0.069750913,0.085636893,0.062054702,0.0479247,0.186564769,0.00873703,0.092530886,0.04203518,0.187031119,0.053555509,0.424707398,0.110849337,0.276286683,0.145213485,0.058957347,0.006308755,0.057265308,0.023672011,0.679412025,4.95103449,0.7223801,0.246167638,0.053022291,0.022056869,0.162016529,0.034128049,0.032850994,0.069077587,0.274268508
M06-2X-D3(0),0.013349548,0.039578778,0.032381024,0.259172568,0.002784855,0.014136917,0.491865556,0.067789712,0.442976415,0.095005157,0.053588915,0.002323945,0.281448629,0.112520072,0.040981175,0.014002907,0.034422184,0.035920584,0.207311119,0.224281603,0.32322016,0.301815239,0.111623371,0.065293106,0.066233732,0.443414035,0.125918066,5.464071067,0.120774843,0.097942682,0.037219692,0.084824084,0.085822697,0.022092039,0.028777737,0.045106814,0.274721973
M06-2X,0.013274114,0.042007381,0.029099831,0.261004662,0.002996165,0.015594429,0.488741466,0.06846138,0.440143788,0.095497122,0.054188699,0.002367825,0.281841923,0.112351539,0.041615795,0.013950307,0.035738149,0.035884524,0.205833771,0.226536269,0.322027134,0.30434284,0.110778408,0.066951746,0.067458438,0.443147176,0.131736621,5.546393061,0.123698018,0.09850842,0.036710735,0.085164995,0.087081828,0.022034612,0.02821764,0.044494511,0.277385426
B97M-rV,0.233035474,0.061172242,0.054632038,0.489024719,0.063447271,0.049142761,0.014765717,0.013400207,0.030254767,0.005042975,0.019974606,0.014661542,0.194133449,0.042306293,0.018646063,0.003075804,0.019523931,0.102543534,0.544491604,0.274690025,0.203177894,0.276016778,0.056878298,0.106067467,0.04969217,0.459114752,0.156123819,6.672124314,0.332022104,0.075257769,0.065242767,0.047989026,0.003936269,0.004332943,0.101124632,0.003823223,0.301691368
TPSSh,0.255771864,0.249233047,0.15098435,0.395158927,0.292987973,0.015596396,0.168249001,0.124790328,0.120604697,0.110885515,0.062493793,0.067523224,0.475633789,0.125656384,0.074876198,0.104020874,0.090296852,0.030447116,0.316327838,0.311972235,0.342122875,0.407874385,0.040475347,0.116873412,0.084371499,0.445077915,0.472344391,4.467079558,0.381158167,0.102723451,0.1024953,0.079472951,0.086676139,0.065613396,0.152964281,0.025287778,0.30322559
B3LYP-D3(BJ),0.176459081,0.102184135,0.146573685,0.586946529,0.244351344,0.022240877,0.063625559,0.039879866,0.053326893,0.031057879,0.003022799,0.078539544,0.234516713,0.042959458,0.013876234,0.041654596,0.062808794,0.051158449,0.654602435,0.232929888,0.29906103,0.190406059,0.019926516,0.268183489,0.107976596,0.292256606,0.215586927,5.870829343,0.275319729,0.054319946,0.071175596,0.08598616,0.017617244,0.024541686,0.180423986,0.114864471,0.304755282
mPW91-D3(BJ),0.334690161,0.255063283,0.074478377,0.694732565,0.453424508,0.150287912,0.407808261,0.083035893,0.352893473,0.083434369,0.110312364,0.163167444,0.677404098,0.155412723,0.140210367,0.188127998,0.141928301,0.067577973,0.797035488,0.291427478,0.636611057,0.317900062,0.051723216,0.217625559,0.22324359,0.523283726,0.806662023,0.681124661,0.941394959,0.354904701,0.177161373,0.15650292,0.168548516,0.120889976,0.286987478,0.056957194,0.31511039
PBE-D3(BJ),0.3437569,0.202550515,0.125821665,0.594311864,0.424061692,0.131015363,0.321868897,0.098698061,0.271520447,0.095114937,0.10671077,0.152458802,0.604270346,0.155693608,0.140530533,0.185039497,0.153170137,0.077920431,0.642252769,0.324678367,0.52357426,0.372228922,0.041228588,0.201706202,0.158846548,0.514084887,0.639386969,2.550395417,0.823014506,0.302848655,0.172449648,0.154358993,0.151331692,0.131032904,0.250837164,0.02502346,0.337883178
PBE,0.358388193,0.261697315,0.186895612,0.537824198,0.419077852,0.101989191,0.282526303,0.109903379,0.227075462,0.101723865,0.099521437,0.150903727,0.590670423,0.15454534,0.13241376,0.183517505,0.156388696,0.069810832,0.561386549,0.345736537,0.480511822,0.408329757,0.025451016,0.195206933,0.119030096,0.498472709,0.469940473,4.459888445,0.751389198,0.272543856,0.164930338,0.152703675,0.1390873,0.13115998,0.232632505,0.023933792,0.376589113
B3LYP,0.199992777,0.203307382,0.250321238,0.49200688,0.237691527,0.072562131,0.001462996,0.059487508,0.02192196,0.042592021,0.016038973,0.07595687,0.211714436,0.040144668,0.029658261,0.039250781,0.065663257,0.037482057,0.515650266,0.269289948,0.224006684,0.25198524,0.005617249,0.258930258,0.042053897,0.262376816,0.063199116,9.052309744,0.150191622,0.002606588,0.058327572,0.083319484,0.038452466,0.02469938,0.151788601,0.114145759,0.379616845
TPSS-D3(BJ),0.312455035,0.162045163,0.07477126,0.717865459,0.40426602,0.078160684,0.421732513,0.179631276,0.356074904,0.178893468,0.091586944,0.112588584,0.692760988,0.197310918,0.103040865,0.16318985,0.060387531,0.092686177,0.565508413,0.462451906,0.545448938,0.566185105,0.11702806,0.217344528,0.205368246,0.682207288,0.754060426,4.387809214,0.541496332,0.173484696,0.163278092,0.153926508,0.10191317,0.097794573,0.27879928,0.01965061,0.400922306
mPW91,0.361673856,0.271620358,0.226839061,0.587154335,0.429244928,0.075831127,0.32725523,0.125796182,0.254955659,0.1155033,0.086638226,0.155800495,0.616476734,0.155711933,0.106321035,0.177603244,0.134638476,0.07507505,0.602375438,0.394770032,0.48632298,0.456804848,0.015287942,0.224484057,0.122492072,0.528515432,0.406444129,6.235606308,0.689763486,0.25287164,0.155072014,0.157685358,0.108641914,0.123189833,0.257128347,0.041315402,0.431747513
TPSS,0.331247136,0.242647429,0.150689019,0.645924013,0.397878522,0.04233902,0.372488825,0.192904058,0.300638913,0.186465828,0.083342347,0.110616927,0.676912008,0.195979173,0.093856169,0.161342656,0.065072022,0.080974411,0.465382414,0.486240667,0.494361351,0.609050867,0.097111327,0.207655066,0.156050311,0.662334689,0.542227087,6.745738136,0.455920682,0.136577021,0.154233708,0.151627003,0.087933322,0.097815575,0.255053033,0.018363352,0.448749836
B97-D,0.272135651,0.090798142,0.163710072,1.092884833,0.388236816,0.001913126,0.329172734,0.143335839,0.21532073,0.128657227,0.033007058,0.176978222,0.56398199,0.107111686,0.02681724,0.142253134,0.019971904,0.14920176,0.73718914,0.531407517,0.483412723,0.568980136,0.020765629,0.407655035,0.178056703,0.499801229,0.405947168,8.20068151,0.450528778,0.129108022,0.107322552,0.165357003,0.004674016,0.078980689,0.397768323,0.145874682,0.487749973
M06-L,0.02527043,0.04389291,0.038378671,0.95686259,0.18064119,0.121677024,0.179143693,0.10813678,0.016547332,0.098163366,0.020345737,0.023121484,0.180529845,0.032816574,0.064734254,0.064481045,0.080043431,0.127439038,0.368699569,0.420969112,0.105017106,0.423324414,0.162983293,0.367238761,0.111148302,0.466414365,0.005060293,11.87491373,0.30775592,0.163959402,0.08453118,0.07488138,0.001181838,0.029004093,0.211678304,0.105170351,0.490171022
M06-L-D3(0),0.025411919,0.040895613,0.034888305,0.959041805,0.180541523,0.12310461,0.18248436,0.108891835,0.01943516,0.09876305,0.021018115,0.023180549,0.181012831,0.032482281,0.065578465,0.064408951,0.078299778,0.127548553,0.366906471,0.423551195,0.103339507,0.426119808,0.16233228,0.369308068,0.112756118,0.466331665,0.010528381,11.96232586,0.30409885,0.164605113,0.083988145,0.075266406,0.000309772,0.029130648,0.211118978,0.105947299,0.492915341
B97-D3,0.290798208,0.075765434,0.10022123,1.097133416,0.403466636,0.004232376,0.343756772,0.13812525,0.268349767,0.132325421,0.03287806,0.162793917,0.567107178,0.123704975,0.004939716,0.138873077,0.016155597,0.149288626,0.776080905,0.506287824,0.49247098,0.554946103,0.050825353,0.414616921,0.218838978,0.590492986,0.414667462,8.388154048,0.470831248,0.118956278,0.123224171,0.167698024,0.005225265,0.06580543,0.407051028,0.127341711,0.498428622
VV10,0.336833575,0.083957806,0.056939227,1.016300679,0.40453687,0.071120947,0.444677353,0.167923169,0.40693423,0.172303485,0.062343607,0.154892085,0.665198734,0.185462956,0.053709824,0.159010534,0.039781622,0.150492291,0.864762682,0.526784176,0.609453047,0.567301431,0.160396847,0.364459816,0.239596689,0.702655378,0.437945643,8.723725867,0.534496955,0.124217694,0.193472178,0.217639482,0.016598232,0.093614063,0.366275991,0.050328187,0.539615093
rVV10,0.33805647,0.084853461,0.066466026,1.028028151,0.405525841,0.063602684,0.438410288,0.170497879,0.399313538,0.174273138,0.059350787,0.155222298,0.660412312,0.1841608,0.048480097,0.158450098,0.03773621,0.151825787,0.85954017,0.535213225,0.599951682,0.574944012,0.159091288,0.374166981,0.237129549,0.703260953,0.41011911,9.147152773,0.516940297,0.117514209,0.191564976,0.219044995,0.010891318,0.092444958,0.36795581,0.054207249,0.549883317
BLYP-D3(BJ),0.331910009,0.057103048,0.153755511,1.172508659,0.465170693,0.02710923,0.476318577,0.174421044,0.413438104,0.180439144,0.027546723,0.174943854,0.639012798,0.181776988,0.008973613,0.159288087,0.000759749,0.166898506,0.990490163,0.599973395,0.595445561,0.600508155,0.127185245,0.487113016,0.258891351,0.742306778,0.294346575,11.34450054,0.4198826,0.118966443,0.169968013,0.240693365,0.031654847,0.089147824,0.413885472,0.107874152,0.623450218
BLYP,0.360476534,0.178564561,0.283232454,1.055236746,0.457138086,0.035550762,0.395788673,0.19929506,0.320132987,0.195231523,0.011110898,0.171735824,0.610228734,0.178302439,0.011399552,0.15623187,0.003400394,0.150835672,0.817617572,0.646917988,0.500399443,0.678382309,0.095795238,0.476843399,0.177447899,0.706167903,0.050179811,15.31466807,0.26194197,0.054475331,0.153823178,0.237598003,0.058415981,0.089460635,0.378939287,0.106909392,0.710552116
M06-HF,0.430909679,0.168934018,0.176905199,1.01634463,0.019314616,0.199879122,0.178742548,0.084514166,0.375699581,0.131309179,0.192794786,0.05998741,0.170728537,0.064416587,0.151546446,0.03884434,0.005674756,0.170852121,0.37317704,0.66064218,0.13663423,0.571110481,0.261912398,0.269516834,0.016478318,0.710725314,1.186578973,19.03169584,0.021168849,0.480942731,0.034842708,0.095278497,0.14431777,0.015668607,0.144768148,0.012300576,0.772365478
