method,aceticanhydride_IEF-PCM_forward,aceticanhydride_IEF-PCM_reverse,amide11_IEF-PCM_forward,amide11_IEF-PCM_reverse,amide12_IEF-PCM_forward,amide12_IEF-PCM_reverse,amide21_IEF-PCM_forward,amide21_IEF-PCM_reverse,amide22_IEF-PCM_forward,amide22_IEF-PCM_reverse,basicepoxide1_IEF-PCM_forward,basicepoxide1_IEF-PCM_reverse,basicepoxide2_IEF-PCM_forward,basicepoxide2_IEF-PCM_reverse,borohydride_IEF-PCM_forward,borohydride_IEF-PCM_reverse,carbonate_IEF-PCM_forward,carbonate_IEF-PCM_reverse,cl2co_IEF-PCM_forward,cl2co_IEF-PCM_reverse,diazonium_IEF-PCM_forward,diazonium_IEF-PCM_reverse,epoxide1_IEF-PCM_forward,epoxide1_IEF-PCM_reverse,epoxide2_IEF-PCM_forward,epoxide2_IEF-PCM_reverse,ester_IEF-PCM_forward,ester_IEF-PCM_reverse,furan1_IEF-PCM_forward,furan1_IEF-PCM_reverse,furan2_IEF-PCM_forward,furan2_IEF-PCM_reverse,furan3_IEF-PCM_forward,furan3_IEF-PCM_reverse,imine_IEF-PCM_forward,imine_IEF-PCM_reverse,iminium_IEF-PCM_forward,iminium_IEF-PCM_reverse,lactone_IEF-PCM_forward,lactone_IEF-PCM_reverse,Average
SCAN-D3(BJ),None,None,None,None,None,None,-0.05618117708348814,-0.3990218130340438,-0.41139567516875464,-0.16725612507039933,-0.2645656273868874,0.038962954184515015,-0.15881546885576964,0.013797190771649568,-0.07880376733711332,-0.05867432065343032,-0.36443768815154953,0.06509810723456518,-0.13358855216688076,-0.08284528270566056,0.13728306446069855,-0.02126702884937905,-0.44898882282774744,-0.06823459147721427,-0.5281478533896528,-0.09985145160799772,-0.9173631101261701,0.0712770704896247,-0.10986510324635712,-0.19308464335367442,-1.649873845773383,-0.28259353476630134,-0.7480708758340922,-0.12382043462884819,-0.12659796666403408,-0.039454548107615894,-0.14824569547990202,-0.057957755048623,None,None,-0.23164326161418491
SCAN,None,None,None,None,None,None,-0.03758025801074269,-0.3839999758066593,-0.4098524327511246,-0.16127002104566207,-0.26044531099177703,0.03762194475776607,-0.15181913745505038,0.01337494486233461,-0.07778780514772812,-0.05829981104508736,-0.36134743063760916,0.06404607332103877,-0.13281383353892584,-0.082461157616333,0.138779736957977,-0.019389470544057003,-0.4322929032133561,-0.06869451588899114,-0.5177964324387657,-0.1019170256806343,-0.9144278892225911,0.07639820794565734,-0.09978084770032958,-0.19218564639048477,-1.5586298511712087,-0.318921939122212,-0.729640209907121,-0.11997587429597156,-0.1251157739474529,-0.038743429950696184,-0.14631353755271034,-0.057898861942667676,None,None,-0.22591188984909924
TPSSh-D3(BJ),None,None,None,None,None,None,0.09397486415379311,-0.4368369369055636,-0.45479535623603734,-0.09266157354424054,-0.10152453438260921,-0.03198147884944919,-0.005981988271193955,-0.04472368195251358,-0.07181259777589948,-0.06139901981854148,-0.3275053335532679,0.038073411078803514,-0.09441961765685829,-0.11042348242085268,0.09910090132084799,-0.02793059354095675,-0.2622990274656966,-0.151757716826635,-0.38548470674551816,-0.19569529571665256,-0.8896220416234207,-0.09106691839116542,-0.11980267595527658,-0.23815344172709316,-0.9744893672775733,-0.47043633897208015,-0.4505515575150076,-0.10610996028414292,-0.10042252866096116,-0.07641031223960298,-0.10972502285396848,-0.066181316956727,None,None,-0.19747047648643942
TPSSh,None,None,None,None,None,None,0.1886399107333021,-0.36553714024634937,-0.4516950058663165,-0.056248238389632485,-0.07734347619529187,-0.041518732659537705,0.034129762876281805,-0.048533364104372985,-0.06388670038519943,-0.059663889540096514,-0.3116376084749498,0.032843143203251116,-0.08423617769096986,-0.10837947104508225,0.09705521820430077,-0.02093912082854054,-0.16825995475441258,-0.15839027093578853,-0.3198462324814636,-0.2100169452468733,-0.8676186923940497,-0.07281769413575163,-0.07447414435307417,-0.23073865721025438,-0.5120450204459523,-0.6689536419726914,-0.33436905000141137,-0.08470457435671483,-0.09107274544450004,-0.0740617661303831,-0.09488801951735407,-0.06601738197171042,None,None,-0.16766330255504966
B3LYP-D3(BJ),None,None,None,None,None,None,0.15802657709389217,-0.5522249595754367,-0.3938948072221051,-0.015091153372606895,0.013795298867295415,0.060502599855842026,0.07134241721335807,0.04014037075080827,0.005381812434135713,-0.07610033053497808,-0.10753235133199826,0.11322718111951165,0.006744378893297182,-0.050047515156489523,0.06315852681291508,-0.044982787923691106,-0.5726214792570057,-0.12545630839998287,-0.361806180347932,-0.08428094910814962,-0.8154698232293276,-0.26208827816024644,-0.10336072685976502,-0.14053412943065802,0.5073587870957246,-0.6758330041492622,-0.23102948639582654,-0.02006926221730518,-0.0666419577123969,-0.09194589703020717,0.021953815692672674,-0.024932212491403524,None,None,-0.1173222448149163
SCAN0-D3(BJ),None,None,None,None,None,None,-0.16231843444224348,-0.053151525261381186,-0.2220433281272509,-0.17520029333715365,0.09570195963056986,0.22941360869656788,0.09855375646627375,0.1893733216474722,-0.06804788529818324,0.00047020635362475207,-0.06501370366006044,0.20263614958851364,-0.13041694624493375,0.00030977389649091905,0.19270464797672418,0.07180862076227712,-0.2988575975034065,0.1678657694563274,-0.296934552393762,0.18863153772079438,-0.9227995527153875,0.26480591752926996,-0.04563049952457535,0.07260215599138914,-2.094658149544144,0.7959062915202512,-0.8165522243935952,-0.1358257322536962,-0.062048624146539444,0.0807435748592477,-0.19973766470572557,-0.0029842402833062903,None,None,-0.09689667692936096
mPW1PW91-D3(BJ),None,None,None,None,None,None,0.04748239981545974,-0.11157185580677959,-0.3197106996570443,-0.1332615863544999,0.13214390212189236,0.17332107496737173,0.15961815771778398,0.14737696093733246,-0.06211664366462468,-0.04095179032415842,-0.08002448077330522,0.17736853896404298,-0.10852809233574073,-0.050216417943204875,0.20038639571345432,0.05574524078433533,-0.28860624214727665,0.08529371392704249,-0.2763041035917567,0.10197850472011105,-0.8582887085544373,0.11898436630843097,-0.04064583700480739,0.0293997025346253,-1.1924507160540678,0.39888074077069685,-0.8053053949102759,-0.22051329097741554,-0.051877418734787344,0.028397526125649403,-0.18164332743431585,-0.036296517048541775,None,None,-0.09381049680965034
M06-L,None,None,None,None,None,None,-0.03226729238174598,-0.8573482470843002,-0.2880774291663353,0.11282706309986609,0.343176740697413,0.0008555135849955043,0.19984787983059554,-0.03159494735555359,0.03194148862296942,-0.015658447102118507,0.00999710552669968,0.1093553799544109,0.0535819007004063,-0.06962136274798979,0.07902340197209375,-0.1064287636587312,-0.14057758394641368,-0.2170122139609524,0.07017611095979383,-0.19485860721153633,-0.8803522573062945,-0.466913224175298,-0.09430961548111773,-0.22052017500557175,1.4802939526260301,-1.2643826253158668,-0.3707785647020734,0.21600250927229783,-0.07308408954563328,-0.0683005686674004,-0.006404489601000892,-0.039666307548027316,None,None,-0.08534618015988715
B97M-rV,None,None,None,None,None,None,-0.053384116774173936,-0.4318272841409282,-0.14889675717134349,0.026458574117587844,0.11042672443770943,0.07583117296349816,0.10134099442775905,0.051861335732602855,0.035744069162058884,0.01996884342620942,-0.05785253094094609,0.10379828460834731,0.013060609667452955,-0.010675007521035583,-0.0015520418079251134,-0.09666898138461726,-0.41206962263727526,-0.155020372201675,-0.14939560752134767,-0.12698419558603943,-0.8473715523517983,-0.03724556613964684,-0.0358576633997994,-0.24530724171815457,0.6583802833617098,-0.7456646974126375,-0.3529612441549532,0.1098990693946907,-0.05441029205582067,-0.04254874958204704,0.0046263396531550476,-0.0121290144221752,None,None,-0.0845758199366112
M06-L-D3(0),None,None,None,None,None,None,-0.029137812288298162,-0.8592156946710586,-0.28857946892100755,0.1144136322337273,0.34516268566996766,0.0002196482619412463,0.20216664029225787,-0.032013900237825244,0.032668585631098965,-0.015728040563602184,0.009889965403309326,0.10937579561559961,0.05478012315487967,-0.06954865054645908,0.07701304553295019,-0.1066732763933336,-0.13835508571898658,-0.2181227245979931,0.07304078705184179,-0.1959342678700346,-0.8782055732662298,-0.4692749146252263,-0.09590666399099881,-0.22024016546530337,1.4998312658027542,-1.2720868526122309,-0.36471568796985687,0.21651263610225716,-0.07246637865508344,-0.06876143853188826,-0.0045900500989342645,-0.039778608679078564,None,None,-0.08450813890471388
B3LYP,None,None,None,None,None,None,0.29625690704966245,-0.4496367112414026,-0.3926487725850234,0.04265360908715888,0.05179847621079018,0.04379533690351938,0.13293693405459245,0.03270951526119679,0.02037602092285319,-0.07370138481780138,-0.08219522030106889,0.10625441054071015,0.026964693622555658,-0.047030202569699774,0.054381106678249455,-0.03855520769349311,-0.4257809605330259,-0.1398691810417403,-0.25131752246770556,-0.10899807615735008,-0.7782273130976097,-0.24206924447175543,-0.036786687335462996,-0.1272304739633713,1.1888861333900405,-0.9744760886267401,-0.03902863073242109,0.015990000527921547,-0.05137149081858727,-0.0894069186766424,0.04835077041919894,-0.024989661250020057,None,None,-0.07224893230351474
PBE0-D3(BJ),None,None,None,None,None,None,0.13752585993603844,0.002468741406470899,-0.28823254248128627,-0.09964506901834479,0.20379601982208637,0.15624066909333412,0.2272743750081159,0.13740988609600316,-0.053544138101029606,-0.03198637315485236,-0.022722168601399844,0.17149117302479047,-0.10190508700300308,-0.046072978910976434,0.20256648738001687,0.043751643351428685,-0.10193379698559761,0.06374009716436695,-0.0972946709267544,0.07720626317693287,-0.8207144599634575,0.15121571164923564,0.03328293512556938,0.032537142239759606,-0.6722667807888874,0.19630072136024604,-0.6128719027483069,-0.17115767589170117,-0.040008961353500384,0.032253058024907105,-0.15349545627804517,-0.046033578323443985,None,None,-0.046588276770977634
HSE-HJS-D3(BJ),None,None,None,None,None,None,0.1600362713684645,-0.003791770146666628,-0.29652927840827237,-0.09014697747762909,0.1908740901876701,0.14816727918281272,0.2229462138077158,0.131002716924998,-0.05065486670194797,-0.03430493962304766,-0.033366511317510734,0.16650979962879447,-0.09574948805648398,-0.04696087503959077,0.2022025902182986,0.03960393838916071,-0.10234886267464074,0.05192519960164224,-0.09972892068511001,0.06344323690909949,-0.8138900344047955,0.14095700728156182,0.03601783333856154,0.02427710580363392,-0.5404782443052111,0.11337213237036187,-0.5788878646257427,-0.16814926287899495,-0.03881702439699411,0.02777620577311265,-0.14362163643830805,-0.04646660584566377,None,None,-0.045774423195022555
LRC-wPBEh-D3(BJ),None,None,None,None,None,None,0.010068549411238775,0.07153057180239576,-0.2619953832309671,-0.1548104858859718,0.31628417551334975,0.21301244236610983,0.2883515851168196,0.18630872362489692,-0.07318327300751427,-0.02350047507301182,0.045090320343332255,0.20884126191954486,-0.1477180179708856,-0.05572163890367942,0.19203476808885991,0.08580665015044892,-0.02464973772445605,0.16702285186270396,-0.05553925689370879,0.18382234318880436,-0.8496912100968325,0.23105069411677945,0.01042031578473007,0.12440516100739803,-1.5327129167271056,0.7738067321327532,-0.8634797157462757,-0.21467918232100078,-0.05017989515377176,0.061291813132200064,-0.2445936775453759,-0.048086958777949884,None,None,-0.04473102704675441
HSE-HJS,None,None,None,None,None,None,0.20809865929324375,0.03516087785049962,-0.2933884967103903,-0.07335038141136938,0.20179724762096232,0.14458281526080816,0.24183114446273649,0.12994691013205703,-0.04784037685304318,-0.033305196023205655,-0.025715972894211837,0.16376709291702177,-0.0928943635033261,-0.04594296030337565,0.20397352770725383,0.045527349229841876,-0.05736948016154704,0.05107081905051144,-0.07236514992844716,0.05817969492718332,-0.8053145432456048,0.15443065108763157,0.06085242766591173,0.02842046708346613,-0.31001682281392573,0.01767382903758701,-0.5298347823850559,-0.15815807517547714,-0.03489257556181891,0.029635754857450094,-0.13883481021546695,-0.046169012458864865,None,None,-0.03095136660815514
SCAN0,None,None,None,None,None,None,0.03524270125537153,0.07031390964316524,-0.19878299072290867,-0.08894142538637119,0.15502794295352196,0.19226988024566158,0.18352562871403574,0.1652126934696614,-0.041668079254548546,0.006759424262820743,-0.006311176137890652,0.18709668478918084,-0.0921213503929472,0.011769154587706186,0.17034371624603217,0.05771985376248909,-0.09403357394779902,0.1136335529729984,-0.08967157017628673,0.12988844146170675,-0.8722462198815555,0.2616098475608224,0.05487986405453473,0.05996869882871957,-1.0201084693277065,0.286398231703541,-0.4477260195331523,-0.04679558185370463,-0.035651150319685784,0.07857709671168091,-0.1280644849240466,-0.00503294693000563,None,None,-0.029591178611404957
mPW1PW91,None,None,None,None,None,None,0.2450487350808913,0.011918993416293964,-0.29645153189917206,-0.04700658629505802,0.19146996154873858,0.13617605749964698,0.2445959149869883,0.12321465931282165,-0.03573512745036551,-0.034662457427705726,-0.02129798989561892,0.16183431337079845,-0.07023249505743598,-0.03875584189905117,0.17799619121702856,0.04165665005849685,-0.08385325115960639,0.031053271514187915,-0.06905354051124822,0.04323145166955236,-0.8077499994762378,0.11576853500067961,0.059871082019729495,0.01676849888652579,-0.1178770841367603,-0.11066498307327294,-0.4364788821271433,-0.1314949416446228,-0.02548015821539197,0.02623102937902388,-0.10998132280303273,-0.038348954925570146,None,None,-0.026509056344871572
PBE0,None,None,None,None,None,None,0.2075934163534279,0.055381683167665896,-0.285697078487289,-0.07280855590767593,0.2216366815818783,0.14927925727753763,0.25683755259160673,0.13464895201885554,-0.04769086916206338,-0.03070187721223688,-0.010908673776359982,0.16767755177225036,-0.09458606162124229,-0.04457727154015222,0.20146289286216093,0.0489777251745316,-0.03256113238828667,0.05897924214379567,-0.049104517567148516,0.06674746622086854,-0.8047526860258942,0.1650012346083756,0.06724573658020873,0.03805965386503107,-0.32962879861991506,0.0498935505922723,-0.5276428738383458,-0.15523598279270762,-0.03314197259509437,0.034051083929006035,-0.1427018992306556,-0.045899155543395284,None,None,-0.024505178924030938
CAM-B3LYP-D3(0),None,None,None,None,None,None,0.11329094834041468,-0.1521619206828983,-0.237035738670142,-0.016139164670366205,0.2895495776457757,0.15999090938827742,0.2744656837176343,0.1363135359794884,0.008031148671835965,-0.029387688322251772,0.1225231699484296,0.19095573197554855,-0.02569664728660672,-0.009246349177579967,0.059225001133558275,0.025774774082943548,-0.2814957736249579,0.04420997723111079,-0.15128269389356452,0.08570716471295531,-0.8102013389721767,-0.0452264213151967,-0.006218977494897408,0.060463533563388086,0.03526628793637285,-0.00981718583155496,-0.14501492222952314,0.022684267364250096,-0.04681639756147312,-0.010679014168688746,-0.03766917517668983,-0.015488910204796386,None,None,-0.012535206487230652
M06-SX-D3(BJ),None,None,None,None,None,None,-0.20388419508463146,-0.3554262518368497,-0.03839143581323826,0.013137272298550115,0.42138265461194235,0.20499275433242256,0.3105353010724172,0.16714359724176958,-0.018847520915364728,0.013745255209380334,0.16576038947610655,0.21854304682223888,-0.014933432911026667,-0.004028964912270463,-0.0002455001827982205,-0.050026207377411126,-0.1364039283082649,0.02852475912478037,0.13189880887498576,0.09760446360247071,-0.8988342510024537,0.012381445953800333,0.015109340688268675,-0.0032367752397739966,0.12827696243643696,0.10383014748903352,-0.44361478613267835,-0.0013924096998444563,-0.011177128044370814,0.033994543980246525,-0.058045116701206635,-0.010611880739636769,None,None,-0.005694970052717807
MN15-D3(0),None,None,None,None,None,None,-0.2805658531393537,-0.07794724880579747,0.07499951432230868,-0.04560861531165743,0.4358187374722128,0.20091370239311296,0.2908790704979093,0.1543813356353826,-0.04367885695902577,0.031773621582631396,0.22251031030924934,0.19481597391038843,-0.08340497064230579,-0.009761856528880782,0.0288012282154029,-0.01116011756338064,-0.07714623040100017,0.08783201971908469,0.04200817989408667,0.13889485894006753,-0.9363229139965327,0.10614235056490218,0.024545364606311557,0.07356218212015643,-0.8814398261255688,0.5777026034826739,-0.16066931692982503,-0.0359109075733429,-0.045403659119568736,0.03844251182323053,-0.14396462882822822,-0.0641969963129363,None,None,-0.005411201023384144
LRC-wPBE-D3(BJ),None,None,None,None,None,None,0.13634076855875038,0.10967869519959525,-0.2774662354977514,-0.10778278045776608,0.4027988366230897,0.14902221508485086,0.375934173735355,0.1355043533976661,-0.06489648429911113,-0.037346433099353586,0.10884473797610356,0.18226252181759484,-0.13858325949466013,-0.0885591091071732,0.1336524140974239,0.06071440958198486,0.26926508099841207,0.10884025853928614,0.2278069337985755,0.1178748848773582,-0.8111031402457202,0.1793844609656329,0.07244091628828177,0.11863180985531906,-0.8817246145826297,0.3981780066253137,-0.5866906659544623,-0.1356484911069366,-0.048943657117570566,0.0340277699514996,-0.21021454218244637,-0.07858892486186302,None,None,-0.0045732840636047165
wB97M-V,None,None,None,None,None,None,0.0154209830386888,-0.05949691638566621,-0.12284156943943263,-0.023923710410232304,0.33974854834564794,0.15316890541640626,0.292456821011547,0.12155573692339709,-0.021867342047931924,-0.013528712403785541,0.14435390008805757,0.16310724387233064,-0.0516428410276364,-0.01894803906563072,-0.04964387380807149,-0.009193560397968375,-0.06155585554376246,0.01496181159522862,0.045333523912213604,0.05242870514856479,-0.844992358771349,0.04019483331870394,0.014457241254092876,0.005004998518653533,0.0316159333256854,-0.10670821111440575,-0.04915306354633945,0.07739095096627639,-0.02945987496911682,0.005829325037651079,-0.05818071778172271,-0.03565485167849051,None,None,-0.001242563644324899
CAM-B3LYP,None,None,None,None,None,None,0.23151251985633564,-0.051320771062997816,-0.2570131824532987,0.0009081551421579258,0.29884681056399937,0.15242789211635735,0.30566763144059395,0.13389204774871863,0.00985043261237785,-0.03191490540402574,0.12467127261431406,0.18288182286232044,-0.025405195383191224,-0.011159382501982425,0.06950993521932376,0.03445312169334255,-0.19007055474981102,0.03732087153298582,-0.06774291142099902,0.07909823486886759,-0.784315135380028,-0.01320930393353362,0.030034899032691006,0.057987973435480455,0.46611017021846995,-0.19332597136133853,-0.04103481388783846,0.026665317581362542,-0.041373924650631874,-0.014244837118324917,-0.031335525422591055,-0.01946574237984694,None,None,0.014653342232164364
