method,aceticanhydride_vacuum_forward,aceticanhydride_vacuum_reverse,amide11_vacuum_forward,amide11_vacuum_reverse,amide12_vacuum_forward,amide12_vacuum_reverse,amide21_vacuum_forward,amide21_vacuum_reverse,amide22_vacuum_forward,amide22_vacuum_reverse,basicepoxide1_vacuum_forward,basicepoxide1_vacuum_reverse,basicepoxide2_vacuum_forward,basicepoxide2_vacuum_reverse,borohydride_vacuum_forward,borohydride_vacuum_reverse,carbonate_vacuum_forward,carbonate_vacuum_reverse,cl2co_vacuum_forward,cl2co_vacuum_reverse,diazonium_vacuum_forward,diazonium_vacuum_reverse,epoxide1_vacuum_forward,epoxide1_vacuum_reverse,epoxide2_vacuum_forward,epoxide2_vacuum_reverse,ester_vacuum_forward,ester_vacuum_reverse,furan1_vacuum_forward,furan1_vacuum_reverse,furan2_vacuum_forward,furan2_vacuum_reverse,furan3_vacuum_forward,furan3_vacuum_reverse,imine_vacuum_forward,imine_vacuum_reverse,iminium_vacuum_forward,iminium_vacuum_reverse,lactone_vacuum_forward,lactone_vacuum_reverse,Average
M08-SO,0.002713279,0.007957532,0.106604151,0.113023643,0.000948008,0.031670538,0.003793902,0.0116408,0.046074411,0.062590552,0.198407888,0.096666926,0.220284425,0.066974238,0.080763685,0.067834708,0.243654058,0.020312189,0.036870678,0.107482085,0.057752604,0.126005429,0.037218085,0.000327834,0.062329819,0.087350328,0.185138825,0.225918185,0.091925804,0.041663151,0.047406596,0.059163872,0.000892466,0.08110138,0.163718774,0.079994155,0.02949654,0.011205731,0.007605812,0.006691164,0.073229356
CAM-B3LYP-D3(0),0.002236801,0.068216029,0.011522733,0.148365257,0.057067981,0.201147083,0.139947198,0.044876842,0.083583466,0.007016547,0.146271622,0.102837506,0.163154504,0.077632731,0.002558109,0.070925814,0.140602598,0.076917752,0.034304083,0.027579706,0.082093146,0.037754479,0.074952952,0.021460098,0.023372488,0.050689909,0.194299107,0.225608686,0.031710739,0.00606708,0.000920335,0.026567121,0.045067268,0.003253155,0.240260627,0.160928317,0.016552275,0.00823282,0.000971232,0.084049431,0.073539391
wB97XD3,0.003761714,0.06976085,0.009275229,0.087785279,0.075467179,0.227469555,0.153286667,0.023889339,0.032600525,0.088752392,0.185416652,0.107643142,0.217615512,0.064149245,0.001623048,0.061226379,0.187203296,0.024259527,0.00204856,0.051160027,0.063867464,0.022724287,0.034239402,0.009547244,0.023804253,0.043972181,0.195990584,0.205877221,0.113232284,0.032176813,0.011585923,0.038741621,0.045073962,0.050450821,0.18737614,0.073773275,0.030030044,0.021355757,0.007496556,0.058340365,0.073601258
wB97XD,0.004047515,0.07780051,0.015056751,0.106613709,0.047283445,0.210393272,0.163540948,0.047671559,0.052773623,0.0837882,0.165490797,0.100513026,0.194400062,0.062773325,0.010364249,0.07231116,0.168133723,0.035052433,0.018858144,0.05037343,0.097760147,0.015563411,0.054911824,0.001107773,0.004002768,0.03536946,0.168510814,0.230406714,0.104426017,0.022905854,0.011491752,0.048327495,0.056258952,0.023232743,0.200545214,0.10308422,0.026265464,0.027884245,0.003375868,0.087225889,0.075247413
mPWB1K,0.000102011,0.088266619,0.001860362,0.02917638,0.089288333,0.174473154,0.125418612,0.045560695,0.050254096,0.081874047,0.219363592,0.020494966,0.24714531,0.023120961,0.02527954,0.06343797,0.203613212,0.005363802,0.04192971,0.112147003,0.201399567,0.121495794,0.012539381,0.082702418,0.055257219,0.107170726,0.084028038,0.103983012,0.231363154,0.039621879,0.020258297,0.005905945,0.028517344,0.010358075,0.107084365,0.072634413,0.077316975,0.022105445,0.026833203,0.021802531,0.077013704
BMK,0.001211513,0.066958345,0.007628934,0.073736319,0.061130175,0.252959297,0.13011343,0.030960616,0.010153547,0.15005126,0.136013414,0.076516814,0.150307758,0.056138318,0.033467244,0.059082505,0.189340934,0.005271651,0.018533017,0.087184792,0.178279374,0.050192364,0.015802917,0.03695154,0.023357287,0.06115768,0.213382769,0.208679548,0.204989288,0.076907546,0.050275619,0.037518362,0.045216808,0.122109409,0.150420253,0.041912813,0.007881431,0.049558536,0.005519737,0.062466707,0.080983497
M11,0.012403668,0.003468642,0.024886183,0.124490393,0.028594628,0.149939762,0.103780754,0.063073469,0.040678248,0.016071758,0.236535544,0.169388497,0.266080058,0.114673005,0.062758272,0.13872022,0.232517406,0.004120029,0.016639753,0.024116737,0.002346179,0.041188622,0.014636229,0.034087225,0.107456739,0.083273163,0.157352864,0.255403065,0.116739211,0.062832784,0.034800335,0.027568571,0.011945392,0.004040679,0.205871238,0.145430862,0.06287127,0.045967992,0.009586094,0.04220164,0.08246343
wB97X,0.003539321,0.065664432,0.016733117,0.095899846,0.107087177,0.274776647,0.124755808,0.028509408,0.011202466,0.130062361,0.217320614,0.115846713,0.25032876,0.070064938,0.004292433,0.044081278,0.215388624,0.003738381,0.01281016,0.075337677,0.041525825,0.013170149,0.019795608,0.018948451,0.038218943,0.054871868,0.239487068,0.220117145,0.118311074,0.046599037,0.03210998,0.05610131,0.023311027,0.127219647,0.193697446,0.069677987,0.007771421,0.043655162,0.011840246,0.063657619,0.082688179
CAM-B3LYP,0.003608857,0.108855104,0.050205311,0.128229694,0.103229202,0.315194553,0.223043251,0.01938068,0.089054941,0.037837702,0.159171099,0.114066875,0.180542015,0.082265074,0.004194785,0.075228241,0.14106883,0.084740771,0.03609456,0.023385555,0.101824945,0.062169609,0.060044237,0.012324516,0.009389217,0.043425532,0.176422153,0.214365983,0.075510922,0.005662052,0.021301609,0.065815987,0.03118959,0.010004784,0.230306656,0.166775576,0.011474911,0.015376283,0.005227566,0.075920749,0.084348249
PBE0-D3(BJ),0.004320908,0.107147605,0.053131853,0.066926369,0.040483452,0.086903669,0.162817911,0.001227323,0.125277222,0.135777514,0.122190607,0.066728525,0.139087741,0.038940267,0.06845737,0.08906341,0.076458296,0.120305864,0.175682457,0.048228245,0.271112251,0.059873492,0.056072167,0.035972779,0.029424921,0.048750778,0.111659133,0.129636238,0.066179703,0.019555917,0.027914235,0.029351278,0.128404937,0.154502073,0.258887794,0.105953904,0.169856195,0.053957782,0.004872653,0.013397156,0.0876123
mPW1PW91,0.004874595,0.137682058,0.095108627,0.074368298,0.062208389,0.222548329,0.236071585,0.001927211,0.12700448,0.052596509,0.121728234,0.099408521,0.144499743,0.066232732,0.049915778,0.092378907,0.073893004,0.122399027,0.118334304,0.034387991,0.248816144,0.063494349,0.051832822,0.006283204,0.023726492,0.017332218,0.099485063,0.144973998,0.100700376,0.026818441,0.003475683,0.032138829,0.101569947,0.111568086,0.230564087,0.115065611,0.114475603,0.041078983,0.004253409,0.032278393,0.087687502
PBE0,0.0047804,0.135829748,0.085700076,0.054598315,0.068273051,0.183545906,0.208253284,0.010622871,0.121795774,0.093896152,0.131335521,0.078932582,0.152823019,0.046058712,0.062605607,0.086974189,0.079863762,0.119131009,0.165658659,0.045933791,0.276998512,0.07764779,0.044395739,0.029046781,0.021930567,0.036861002,0.101193969,0.124188432,0.107227199,0.01430975,0.010584527,0.000621834,0.115928859,0.132534685,0.246450535,0.101783689,0.157465278,0.053807221,0.007294691,0.011847394,0.090218272
mPW1PW91-D3(BJ),0.003958638,0.129529047,0.012971693,0.099681384,0.003002779,0.025163299,0.097346437,0.027835844,0.144826134,0.185613999,0.099398518,0.035990446,0.107962177,0.015894995,0.077469925,0.10385704,0.053805862,0.121906289,0.185186596,0.054513981,0.258427494,0.078532136,0.086256826,0.05789385,0.058955478,0.078660079,0.127402737,0.14034184,0.021885735,0.024804367,0.051581674,0.074764636,0.159756554,0.203532539,0.278185194,0.112295921,0.203621894,0.037350368,7.07E-05,0.054072703,0.092357696
B97M-rV,0.006922977,0.027934458,0.117828298,0.135418309,0.102585286,0.027734869,0.00034262,0.125136803,0.052792842,0.04378228,0.083007198,0.160945105,0.070653152,0.158232737,0.018003357,0.006344052,0.051310544,0.205964129,0.034128256,0.019986185,0.037575815,0.234574442,0.107439663,0.134649635,0.041818068,0.107317314,0.216159086,0.216239575,0.012671367,0.192438733,0.011317308,0.148938672,0.069491187,0.086174662,0.304530577,0.27636823,0.043330462,0.010954548,0.009957927,0.047502795,0.093962588
B3LYP-D3(BJ),0.0050025,0.048129477,0.004084622,0.262884273,0.058733157,0.155052427,0.183541411,0.148719824,0.186128925,0.004278097,0.061276732,0.200217267,0.062045655,0.199067631,0.001726721,0.151556738,0.037996585,0.207039758,0.024718981,0.053786209,0.094645215,0.131505212,0.126911844,0.113794067,0.064294007,0.069519322,0.187845649,0.325731054,0.083587034,0.128202596,0.004169872,0.133516674,0.056379477,0.030616345,0.317320803,0.365370981,0.063688957,0.021808607,0.021441856,0.117869327,0.112855147
B3LYP,0.005801347,0.097924445,0.061635062,0.241282114,0.010377286,0.33413375,0.278004064,0.125855013,0.18122028,0.085621125,0.079319615,0.229297494,0.090118674,0.217172461,0.013422704,0.147532782,0.045514268,0.202404377,0.055851631,0.049189507,0.098408712,0.104072831,0.102339313,0.131952765,0.046700539,0.096707148,0.168273338,0.319481517,0.003377749,0.116699638,0.037679816,0.194748539,0.027445179,0.015993947,0.289622526,0.359124683,0.094693599,0.022064266,0.017294953,0.116867917,0.122880674
SCAN,0.005224485,0.088698314,0.08084163,0.139916822,0.044206909,0.008453158,0.013924918,0.104949147,0.199659979,0.237366419,0.02000135,0.182913061,0.045429214,0.200570481,0.088632539,0.135361248,0.062733313,0.313645587,0.245366259,0.119991085,0.179220094,0.095983954,0.110564832,0.076229443,0.104602754,0.083971808,0.179658544,0.146242044,0.092596879,0.169788214,0.065701003,0.017162134,0.146776975,0.121305351,0.459342327,0.289118542,0.153514539,0.073883087,0.01760844,0.042861161,0.124100451
SCAN-D3(BJ),0.005079453,0.080243013,0.089182539,0.144056595,0.053066228,0.036685971,0.003093589,0.108364534,0.200950343,0.246732882,0.022298765,0.180537462,0.048740553,0.199326974,0.089625265,0.13595201,0.06364589,0.313425866,0.245977016,0.120584043,0.175476657,0.10156671,0.113404198,0.075162522,0.106171483,0.081478185,0.182468554,0.148593931,0.104837562,0.170974424,0.070553873,0.00971005,0.149392342,0.126881146,0.462010095,0.2906847,0.155623692,0.073961091,0.018328829,0.041633247,0.126162057
TPSSh,0.00769476,0.120539097,0.026581902,0.193214735,0.050659004,0.196506315,0.187557343,0.102530614,0.22197675,0.071874611,0.032274574,0.326148548,0.036946388,0.324370917,0.077980979,0.134392674,0.041497302,0.343224561,0.150359814,0.173046284,0.130887145,0.089962006,0.067090806,0.153268867,0.074388122,0.165533772,0.203590709,0.223537797,0.054866305,0.187034908,0.026692248,0.106499623,0.080853282,0.074243401,0.384841057,0.350114738,0.091508768,0.088395564,0.017465212,0.006941319,0.134927321
TPSSh-D3(BJ),0.007084857,0.081951868,0.017560341,0.209553592,0.087903313,0.066702304,0.125713295,0.118486868,0.226599891,0.128731296,0.01987266,0.309452006,0.018310557,0.31460678,0.085903227,0.137217756,0.046037119,0.344872783,0.164358471,0.176185543,0.123637767,0.113866127,0.082909315,0.143702697,0.084603012,0.149312453,0.217698786,0.230649608,0.109638211,0.194034685,0.049993048,0.065841966,0.097843188,0.103816328,0.401784143,0.355592401,0.108567826,0.08856585,0.020731413,0.005043367,0.135873418
M06-HF,0.013639787,0.080998361,0.148298511,0.189150557,0.1780709,0.139784776,0.211158403,0.237409161,0.008207144,0.401096803,0.128462422,0.015727635,0.22210216,0.055795561,0.229637303,0.122651439,0.17160189,0.030213525,0.301604511,0.100148088,0.004352331,0.313808023,0.054842375,0.332467709,0.037837197,0.266697882,0.028106813,0.037426166,0.067839408,0.257919899,0.112542889,0.345765883,0.01217977,0.415140065,0.088762363,0.059215076,0.177284584,0.007423246,0.025651635,0.025036886,0.141401478
M06-L,0.001845179,0.019425793,0.167103746,0.351207944,0.196489428,0.124400488,0.01514139,0.237808642,0.139171096,0.173365174,0.128573621,0.301449558,0.088113567,0.304401303,0.018435313,0.065212193,0.055795516,0.190336516,0.125044806,0.097436144,0.11736841,0.28451034,0.076352309,0.207703357,0.018808225,0.172355115,0.297459552,0.392631957,0.087446104,0.195248898,0.030691558,0.249073345,0.063879938,0.166123233,0.346113297,0.339359652,0.035714269,0.029043223,0.025968027,0.104362137,0.151024259
M06-L-D3(0),0.001849981,0.017949868,0.166001967,0.352329135,0.196263021,0.124143294,0.018319385,0.238333474,0.139097637,0.175915565,0.129499671,0.302569386,0.089190926,0.30534261,0.019217889,0.065304219,0.05563628,0.189786005,0.126710152,0.097298283,0.115069471,0.284730007,0.076035215,0.208992884,0.018414979,0.17358931,0.296960729,0.394029545,0.089402361,0.195217061,0.03134882,0.250755709,0.063034286,0.166705225,0.344942603,0.34026152,0.037933916,0.029248399,0.025887026,0.105444689,0.151469063
B97-D,0.008250226,0.042522802,0.02340311,0.36157386,0.229916804,0.074036239,0.199144175,0.270567589,0.292180298,0.040593746,0.012334315,0.353653521,0.001610766,0.352266694,0.043661594,0.304929895,0.07062482,0.312685264,0.050247247,0.24615602,0.038166449,0.328162444,0.141516613,0.262857766,0.107507835,0.23666358,0.1884886,0.419928689,0.16885471,0.208101991,0.018711334,0.178357809,0.096894362,0.098024346,0.395247836,0.551285622,0.044428295,0.110067109,0.052917106,0.161077043,0.177440463
B97-D3,0.008883724,0.035120417,0.067648621,0.374079768,0.225659822,0.067190906,0.141337276,0.271590798,0.303405498,0.036450391,0.016377085,0.34592566,0.018172728,0.358024558,0.043511455,0.282829928,0.071655163,0.340010993,0.007090228,0.239692496,0.033134797,0.328336681,0.148394298,0.250312657,0.109631179,0.230467414,0.211521159,0.424630675,0.218475207,0.243016007,0.019759509,0.18196597,0.101589052,0.088874374,0.429529174,0.556769122,0.045248602,0.088706897,0.054261404,0.135254345,0.178863401
PBE,0.011178056,0.126676734,0.044263116,0.232307566,0.059320317,0.141660543,0.220254722,0.136889437,0.314911809,0.226215857,0.000596317,0.304069613,0.002774561,0.309990122,0.12107717,0.264304322,0.07942373,0.390798723,0.263862136,0.325063918,0.218026658,0.168918534,0.110427393,0.170131208,0.106827836,0.165734824,0.192078668,0.276443445,0.097036019,0.207590544,0.026403298,0.10636122,0.166464543,0.227305956,0.519440974,0.521647044,0.169501185,0.194662083,0.02900256,0.00882788,0.181461766
PBE-D3(BJ),0.010681399,0.09755175,0.005455333,0.245483489,0.090030616,0.033692372,0.164646596,0.150493657,0.318585168,0.278071285,0.010309653,0.287450931,0.01935561,0.299616265,0.129444779,0.26672722,0.083907488,0.392689684,0.279873808,0.327974352,0.213783113,0.185184929,0.124727909,0.159614479,0.11692209,0.149795942,0.204167863,0.280832984,0.145481383,0.213600835,0.046770683,0.069610461,0.183026993,0.254620283,0.535651398,0.525524385,0.187721916,0.194456063,0.031638912,0.007309603,0.183062092
TPSS,0.010256757,0.117296216,0.004859066,0.268113754,0.106580608,0.180637388,0.187288443,0.16292368,0.299286756,0.119650468,0.024341758,0.427168482,0.030218809,0.443007295,0.102246451,0.201535157,0.107856717,0.459031711,0.187800934,0.282660007,0.097629192,0.191310664,0.093449863,0.24030084,0.1100743,0.254355211,0.246986702,0.284850785,0.142079152,0.270673233,0.035092113,0.150355469,0.098141172,0.104756305,0.496380757,0.519125097,0.093379568,0.140602915,0.032249444,0.016589387,0.183528566
mPW91,0.011289587,0.131563025,0.060249697,0.251448641,0.065712441,0.187970689,0.256623428,0.148769872,0.322405494,0.179484318,0.011802772,0.327640337,0.0131758,0.331619329,0.106082499,0.27193377,0.087931812,0.392719861,0.212389936,0.313754357,0.189349842,0.179477607,0.117675936,0.194619188,0.108190028,0.187137063,0.184291451,0.296216911,0.101248264,0.219156227,0.018771069,0.140537297,0.152214373,0.209574991,0.49818801,0.53331591,0.124195774,0.18174059,0.032549985,0.015390585,0.184210219
TPSS-D3(BJ),0.009618862,0.077606161,0.043877033,0.285206027,0.145997785,0.041949884,0.118164954,0.180249714,0.303994688,0.183646087,0.037992363,0.407483529,0.050900262,0.431121165,0.111842274,0.204607112,0.113081967,0.461224822,0.205919261,0.286192308,0.091452874,0.214802358,0.11115631,0.228420416,0.122049727,0.235429546,0.262247432,0.291394947,0.202085136,0.278323678,0.060554375,0.104973959,0.117929462,0.138021937,0.515878996,0.524511351,0.114182811,0.140568865,0.035688314,0.014795802,0.187628614
mPW91-D3(BJ),0.01037363,0.123410014,0.021887239,0.276761728,0.130923608,0.009414338,0.117898282,0.174678499,0.340227151,0.31250181,0.034132488,0.264222262,0.049713369,0.281281594,0.133636646,0.283411903,0.108018954,0.392227123,0.279242229,0.333880347,0.198961192,0.16443982,0.152099941,0.143008542,0.143419014,0.125809205,0.212209125,0.291584752,0.223834375,0.217142154,0.066877061,0.033633834,0.210400981,0.301539447,0.545809119,0.530546222,0.213342064,0.178011977,0.036874108,0.037184894,0.192614276
VV10,0.010446388,0.039154493,0.074885814,0.350877832,0.146792946,0.057549483,0.101928801,0.252123427,0.304194319,0.171069554,0.044352791,0.390119156,0.069874303,0.420777048,0.077806179,0.270518416,0.103994968,0.441713669,0.108605654,0.278200402,0.064284789,0.330751015,0.164076929,0.260548808,0.137052912,0.235922415,0.295477748,0.390755086,0.243731473,0.286195672,0.022557535,0.188424501,0.116310945,0.093616595,0.580972597,0.673749714,0.01277332,0.13379127,0.048356467,0.027948444,0.200557097
rVV10,0.010487899,0.03959553,0.071871713,0.355740258,0.147811936,0.070318759,0.110602998,0.254947816,0.304923244,0.157638133,0.042615528,0.393937727,0.067031259,0.423868758,0.074322858,0.271032907,0.102416933,0.439569285,0.098289156,0.277128705,0.061587992,0.333425768,0.163153372,0.264758387,0.1348257,0.239296691,0.294477395,0.397311205,0.240729661,0.286428803,0.0192128,0.19657392,0.112251189,0.087574608,0.576860976,0.677041923,0.021265709,0.131895874,0.048599734,0.03335329,0.20086941
BLYP,0.011248944,0.08574062,0.032000266,0.403485152,0.126127368,0.329322236,0.307969886,0.261500604,0.342964259,0.019500092,0.030800596,0.43664702,0.037491445,0.456766571,0.018176823,0.296761936,0.085871909,0.429921772,0.019833319,0.272886894,0.016317562,0.331439777,0.15573971,0.320545232,0.111489687,0.284965739,0.24597828,0.466657792,0.168113967,0.287547904,0.036114902,0.315276039,0.053286039,0.030756397,0.49549572,0.720499642,0.124401065,0.127057581,0.050190333,0.106785209,0.211341907
BLYP-D3(BJ),0.010279258,0.025930711,0.049580178,0.429640078,0.185340087,0.109965526,0.190080499,0.289743811,0.348884725,0.092442358,0.053123901,0.399756199,0.072300698,0.433547372,0.037306353,0.301760232,0.095361727,0.435643638,0.020356107,0.278731152,0.012835975,0.363658929,0.186310785,0.297100477,0.133769421,0.250583517,0.270030137,0.473593785,0.267207621,0.301460451,0.005296999,0.238864831,0.089807819,0.088883537,0.530301392,0.727750076,0.084578144,0.126550439,0.05525115,0.108129447,0.211793488
Average,0.005457633,0.068651908,0.052893437,0.173326104,0.088236089,0.121709008,0.124091495,0.106985755,0.14852216,0.115287142,0.107911963,0.184931906,0.120352837,0.177790387,0.05785605,0.129723206,0.12251531,0.190339996,0.107222332,0.133596333,0.115246116,0.139287414,0.079276456,0.116783363,0.063252388,0.123389447,0.176824037,0.23495446,0.123763218,0.130665877,0.029279219,0.097457692,0.075778733,0.103154671,0.307083262,0.267109615,0.085612314,0.065016361,0.021003919,0.049499655,0.118545982
